Index,Query,LLM Output,call_order,raw_args
0AUZHX,유부이 살균 에릴디 실행해줘 그 후에 오늘 저녁은 샐러드로 가볍게 먹을까,<function_NN>(enable=True);<function_MR>()<end>,0,enable=True
0GKANF,처음 위치로 돌아가주면 좋겠어 그리고 유부이 에릴디 작동 중이야,<function_KI>();<function_NN>(get=True)<end>,1,get=True
0HFJLQ,유브이 살균 엘이디 좀 켜줘,<function_NN>(enable=True)<end>,0,enable=True
0WKHKW,충전 위치로 되돌아가 또 유뷔 엘리디 작동 정지해,<function_KI>();<function_NN>(enable=False)<end>,1,enable=False
0XKLHS,빵집에서 맛있는 빵 사왔어 그 후에 유뷔 살균 엘이디 기능 시작,<function_MR>();<function_NN>(enable=True)<end>,1,enable=True
1BZDGL,고정 청정 온 또 유비이 에리디 빛 켜주라,<function_PG>();<function_NN>(enable=True)<end>,1,enable=True
1HPAMB,고정 공기 청정 실행해줘 그러고 나서 유브이 살균 엘이디 기능 켜져 있나요,<function_PG>();<function_NN>(get=True)<end>,1,get=True
1JOTFO,유비이 살균 에릴디 기능 상태 확인해줘 다음으로 비행기 표 예약했어,<function_NN>(get=True);<function_MR>()<end>,0,get=True
1KDCND,이번 주말에 근교로 드라이브 갈래 그 다음에 유뷔 엘리디 작동 정지해,<function_MR>();<function_NN>(enable=False)<end>,1,enable=False
1OPTPG,유비이 에리디 빛 켜주라 그 후에 아이스크림 먹으러 가자,<function_NN>(enable=True);<function_MR>()<end>,0,enable=True
1RIZCT,겨울에는 스키 타러 가는 게 좋겠어 다음으로 유브이 살균 엘이디 기능 켜져 있나요,<function_MR>();<function_NN>(get=True)<end>,1,get=True
1RNKAP,유브이 엘이디 꺼줄래,<function_NN>(enable=False)<end>,0,enable=False
2CJKLD,유부이 엘이디 상태 알려줘,<function_NN>(get=True)<end>,0,get=True
2EWGHX,유브이 살균 엘이디 켜줄래,<function_NN>(enable=True)<end>,0,enable=True
3JFKMH,처음 위치로 돌아가주면 좋겠어 그 후에 유비 에리디 상태가 어떤가요,<function_KI>();<function_NN>(get=True)<end>,1,get=True
4QMMFC,충전 위치로 되돌아가 그 후에 유비이 에리디 빛 켜주라,<function_KI>();<function_NN>(enable=True)<end>,1,enable=True
4UEOWG,유부이 살균 엘이디 상태 알려줘,<function_NN>(get=True)<end>,0,get=True
4WARPV,요즘 여행지 중에 어디가 제일 좋아 다음으로 유뷔 엘리디 켜진거 맞나요,<function_MR>();<function_NN>(get=True)<end>,1,get=True
5DEQEK,유브이 살균 엘이디 꺼줘,<function_NN>(enable=False)<end>,0,enable=False
5NHZNP,유브이 살균 엘이디 켜져있어,<function_NN>(get=True)<end>,0,get=True
6HKZPD,오늘은 국물 요리가 땡긴다 그 후에 유브이 살균 엘이디 켜줘,<function_MR>();<function_NN>(enable=True)<end>,1,enable=True
6LSCHT,이제 그만 복귀해 그 후에 유비 살균 에리디 기능 작동 정지해,<function_KI>();<function_NN>(enable=False)<end>,1,enable=False
6VWTPW,충전하러 복귀 다음으로 유뷔 살균 엘이디 기능 시작,<function_KI>();<function_NN>(enable=True)<end>,1,enable=True
7CNMQB,유브이 살균 엘이디 켜줘,<function_NN>(enable=True)<end>,0,enable=True
7JGIPM,고정 공기 청정 가동 시작해줘 유부이 에릴디 오프 부탁해,<function_PG>();<function_NN>(enable=False)<end>,1,enable=False
8FPQJR,유브이 살균 엘이디 멈춰줘,<function_NN>(enable=False)<end>,0,enable=False
8JTJHJ,캠핑 한번 해보고 싶어 그 다음에 유브이 살균 엘이디 꺼줘,<function_MR>();<function_NN>(enable=False)<end>,1,enable=False
8KRCMD,유브이 엘이디 좀 꺼줘,<function_NN>(enable=False)<end>,0,enable=False
9FVIIR,청정 켜봐 다음으로 유뷔 엘리디 작동 정지해,<function_PG>();<function_NN>(enable=False)<end>,1,enable=False
9KWLGU,고정 공청 기능 켜줘 그 다음에 유뷔 살균 엘이디 기능 시작,<function_PG>();<function_NN>(enable=True)<end>,1,enable=True
9LIAQM,고정 공기 청정 실행해줘 그리고 유비이 살균 에리디 불빛 작동 정지해줘,<function_PG>();<function_NN>(enable=False)<end>,1,enable=False
9NLFCW,유브이 살균 엘이디 작동시켜줘,<function_NN>(enable=True)<end>,0,enable=True
9PGZEN,유브이 엘이디 켜져 있어,<function_NN>(get=True)<end>,0,get=True
9QMSDK,청정 켜봐 이어서 유브이 살균 엘이디 기능 켜져 있나요,<function_PG>();<function_NN>(get=True)<end>,1,get=True
