Index,Query,LLM Output,call_order,raw_args
0CTIHT,웰컴 기능이 뭐야,<function_EN>(type=4)<end>,0,type=4
0DWUKW,릴렉스 모드의 특징에 대해 알려주세요,<function_EN>(type=6)<end>,0,type=6
0XSOJJ,넌 무슨 기능이 있어?,<function_EN>(type=2)<end>,0,type=2
1GKJXK,넌 뭘 할 수 있어?,<function_EN>(type=2)<end>,0,type=2
1WQPYO,릴렉스 모드에 대해 간단히 설명해줘,<function_EN>(type=6)<end>,0,type=6
1WQPZM,릴렉스 모드가 무엇을 하는지 궁금해요,<function_EN>(type=6)<end>,0,type=6
2AFXBK,웨이크업 기능에 대해서 설명해줄래,<function_EN>(type=5)<end>,0,type=5
2FVZBN,당신의 소개를 들려주세요.,<function_EN>(type=1)<end>,0,type=1
2UCFYI,너가 할 줄 아는 게 뭐야?,<function_EN>(type=2)<end>,0,type=2
4ECQRO,당신의 기능에 대해 좀 더 자세히 알려줄 수 있나요?,<function_EN>(type=1)<end>,0,type=1
4FKAMS,바이탈 사인 기능에 대한 설명이 필요해.,<function_EN>(type=7)<end>,0,type=7
4GQSIB,바이탈 사인 기능에 대해 궁금한데 알려죠.,<function_EN>(type=7)<end>,0,type=7
5ELZEZ,어떤 청정 기능이 탑재되어 있나요,<function_EN>(type=3)<end>,0,type=3
5HMQPG,웨이크업 기능이 하는 역할이 뭐야,<function_EN>(type=5)<end>,0,type=5
5IYVBD,자기 소개 시작해.,<function_EN>(type=1)<end>,0,type=1
5UPNGD,이 제품의 웰컴 기능은 어떤 거야,<function_EN>(type=4)<end>,0,type=4
5VBJTO,지원하는 청정 기능 뭐야,<function_EN>(type=3)<end>,0,type=3
5YGXEI,웰컴 기능에 대해서 설명해주겠어,<function_EN>(type=4)<end>,0,type=4
5YLALT,너는 뭘 할 줄 알아?,<function_EN>(type=2)<end>,0,type=2
5ZAKIZ,청정 기능 목록 좀 보여줄래,<function_EN>(type=3)<end>,0,type=3
6BOHPI,바이탈 사인 기능에 대해 더 자세히 알고 싶어요.,<function_EN>(type=7)<end>,0,type=7
6FWVBC,네가 누구인지 먼저 말해줘.,<function_EN>(type=1)<end>,0,type=1
6KZXTH,청정 기능은 뭐가 있어,<function_EN>(type=3)<end>,0,type=3
7CXYEH,스스로를 설명해주시겠어요?,<function_EN>(type=1)<end>,0,type=1
7EGXCA,가능한 청정 기능을 말씀해주시겠습니까,<function_EN>(type=3)<end>,0,type=3
7VSHYN,웨이크업 기능에 대해 알려줘,<function_EN>(type=5)<end>,0,type=5
9HRLGK,웰컴 기능이 하는 역할이 뭐야,<function_EN>(type=4)<end>,0,type=4
9LNRKK,이 제품의 웨이크업 기능은 어떤 거야,<function_EN>(type=5)<end>,0,type=5
