Index,Query,LLM Output,call_order,raw_args
0ASWQQ,이제 그만 복귀해 밝기를 일로 조정해줘,<function_KI>();<function_WN>(brightness=1)<end>,1,brightness=1
0CEMNU,고정 공기 청정 실행해줘 이어서 밝기를 2로 조정해줘,<function_PG>();<function_WN>(brightness=2)<end>,1,brightness=2
0CIGVC,처음 위치로 돌아가주면 좋겠어 엘이디를 팔십프로로 바꿔줘,<function_KI>();<function_WN>(brightness=4)<end>,1,brightness=4
0DCNQW,이제 그만 복귀해 그리고 화면 밝기를 4단계로 조정해줄래,<function_KI>();<function_WN>(brightness=4)<end>,1,brightness=4
0EKBGS,엘이디 밝기가 몇프로야,<function_WN>(get=True)<end>,0,get=True
0FHSYX,지금 밝기 몇단계야,<function_WN>(get=True)<end>,0,get=True
0GYMZT,엘이디 화면밝기를 사단계로 설정해줘,<function_WN>(brightness=4)<end>,0,brightness=4
0JXTDC,이번 주말에 뭐 할 계획 있어 그러고 나서 엘이디 밝기를 40프로로 설정해줘,<function_MR>();<function_WN>(brightness=2)<end>,1,brightness=2
0KGRNT,고정 공청 기능 켜줘 그 다음에 엘씨디 조도를 삼단계로 맞춰줄래,<function_PG>();<function_WN>(brightness=3)<end>,1,brightness=3
0LCPQT,오늘 일정은 어떻게 돼 그리고 화면 밝기를 3단계로 조정해줄래,<function_MR>();<function_WN>(brightness=3)<end>,1,brightness=3
0NFKHG,고정 공청 기능 켜줘 그 다음에 엘이디 조명 꺼줘,<function_PG>();<function_WN>(brightness=0)<end>,1,brightness=0
0POJLT,오늘 진짜 힘들었어 다음으로 엘이디 밝기를 이십퍼로 설정해줘,<function_MR>();<function_WN>(brightness=1)<end>,1,brightness=1
0PVKTV,충전 위치로 되돌아가 그 다음에 엘씨디 조명을 2로 줄여줄래,<function_KI>();<function_WN>(brightness=2)<end>,1,brightness=2
0QHSEE,엘이디 밝기 최대로 해줘,<function_WN>(brightness=5)<end>,0,brightness=5
0SADDT,엘이디 화면밝기를 삼으로 해줘,<function_WN>(brightness=3)<end>,0,brightness=3
0WWDSD,어디 가고 싶어 그리고 엘이디 불빛을 60퍼센트로 올려죠,<function_MR>();<function_WN>(brightness=3)<end>,1,brightness=3
0YLTPD,엘이디 화면밝기를 오로 해줘,<function_WN>(brightness=5)<end>,0,brightness=5
1GNLWJ,밝기를 2로 조정해줘 그러고 나서 이 식당 어때,<function_WN>(brightness=2);<function_MR>()<end>,0,brightness=2
1HIIGK,엘이디 눈 밝기를 이단계로 설정해줘 그러고 나서 이 영화 언제 개봉해,<function_WN>(brightness=2);<function_MR>()<end>,0,brightness=2
1KQLAS,고정 청정 온 그러고 나서 엘이디를 팔십프로로 바꿔줘,<function_PG>();<function_WN>(brightness=4)<end>,1,brightness=4
1NQETM,고정 청정 온 그 후에 밝기를 일로 조정해줘,<function_PG>();<function_WN>(brightness=1)<end>,1,brightness=1
1TKAJG,영화 예고편 봤어 또 엘이디를 팔십프로로 바꿔줘,<function_MR>();<function_WN>(brightness=4)<end>,1,brightness=4
1UZXUB,스테이션 위치로 복귀하세요 그리고 엘이디 조명 꺼줘,<function_KI>();<function_WN>(brightness=0)<end>,1,brightness=0
2AERYM,고정 공기 청정 가동 시작해줘 그 다음에 엘이디 눈 밝기를 백퍼로 바꿔줘,<function_PG>();<function_WN>(brightness=5)<end>,1,brightness=5
2BPVUT,밝기 조절해줄 수 있어?,<function_WN>(brightness=-1)<end>,0,brightness=-1
2FDOAF,고정 공기 청정 실행해줘 그 다음에 엘이디 눈 밝기 몇 퍼인지 말해줄래,<function_PG>();<function_WN>(get=True)<end>,1,get=True
2HHRJW,고정 청정 온 그리고 엘이디 눈 조명을 4로 맞할 수 있니,<function_PG>();<function_WN>(brightness=4)<end>,1,brightness=4
2IEKQZ,엘이디 화면밝기를 이단계로 설정해줘,<function_WN>(brightness=2)<end>,0,brightness=2
2JABAE,이제 그만 복귀해 그리고 엘씨디를 0프로 밝기로 조정해줄래,<function_KI>();<function_WN>(brightness=0)<end>,1,brightness=0
2LAHPZ,오늘 저녁 뭐 먹지 그 다음에 밝기를 제로로 설정해줘,<function_MR>();<function_WN>(brightness=0)<end>,1,brightness=0
2OHHIY,디스플레이 기본 설정으로 조정해줄래,<function_WN>(brightness=-1)<end>,0,brightness=-1
2SKCQS,스테이션 위치로 복귀하세요 그리고 가장 낮은 단계로 밝기를 조정할 수 있어,<function_KI>();<function_WN>(brightness=0)<end>,1,brightness=0
2WQHBC,엘이디 밝기 일단계로 해줘,<function_WN>(brightness=1)<end>,0,brightness=1
2YGRTA,엘이디 화면밝기를 이단계로 해줘,<function_WN>(brightness=2)<end>,0,brightness=2
2YOOFF,기본 설정으로 밝기 돌아가,<function_WN>(brightness=-1)<end>,0,brightness=-1
3CAHPK,고정 공기 청정 실행해줘 그리고 지금 엘이디 아이의 밝기가 어떻게 돼,<function_PG>();<function_WN>(get=True)<end>,1,get=True
3EPBEY,이제 그만 복귀해 그 후에 엘씨디 디스플레이 밝기 삼으로 바꿔,<function_KI>();<function_WN>(brightness=3)<end>,1,brightness=3
3MMYQL,청정 켜봐 그리고 엘이디 아이 화면 밝기 가장 밝게 켜줘,<function_PG>();<function_WN>(brightness=5)<end>,1,brightness=5
3MSZZS,밝기를 100퍼로 설정해줘 이어서 주말에 시간 있어,<function_WN>(brightness=5);<function_MR>()<end>,0,brightness=5
3OMISO,스테이션 위치로 복귀하세요 엘이디 불빛을 60퍼센트로 올려죠,<function_KI>();<function_WN>(brightness=3)<end>,1,brightness=3
3RGNED,밝기를 이단계로 해줘,<function_WN>(brightness=2)<end>,0,brightness=2
3SLEKP,청정 켜봐 밝기를 2로 조정해줘,<function_PG>();<function_WN>(brightness=2)<end>,1,brightness=2
3ZEUPD,디스플레이의 밝기를 높여줘,<function_WN>(brightness=-1)<end>,0,brightness=-1
4AUJPD,오늘 무슨 일 있었어 그리고 엘이디 눈 밝기 몇 퍼인지 말해줄래,<function_MR>();<function_WN>(get=True)<end>,1,get=True
4CDGPF,엘씨디 디스플레이 밝기 사로 바꿔 또 오늘 뭐할 계획이야,<function_WN>(brightness=4);<function_MR>()<end>,0,brightness=4
4CYWJG,가장 낮은 단계로 밝기를 조정할 수 있어 그 다음에 내일 뭐해,<function_WN>(brightness=0);<function_MR>()<end>,0,brightness=0
4DPRVU,충전 위치로 되돌아가 그 후에 엘이디 눈 밝기 몇 퍼인지 말해줄래,<function_KI>();<function_WN>(get=True)<end>,1,get=True
4FJFUG,오늘 저녁 뭐 먹을까 이어서 화면 밝기를 5단계로 설정해줘,<function_MR>();<function_WN>(brightness=5)<end>,1,brightness=5
4LUNFS,엘이디 화면밝기를 오단계로 해줘,<function_WN>(brightness=5)<end>,0,brightness=5
4NKEUI,엘이디 밝기 사단계로 해줘,<function_WN>(brightness=4)<end>,0,brightness=4
4RTKLR,엘이디 화면밝기를 영으로 해줘,<function_WN>(brightness=0)<end>,0,brightness=0
4SLBLN,충전 위치로 되돌아가 그 다음에 엘이디 눈 밝기 일단계로 높여줄래,<function_KI>();<function_WN>(brightness=1)<end>,1,brightness=1
4XEGJH,스테이션 위치로 복귀하세요 밝기를 100퍼로 설정해줘,<function_KI>();<function_WN>(brightness=5)<end>,1,brightness=5
4ZPCEW,내일 아침에 일어나야 돼 또 화면 밝기를 4단계로 조정해줄래,<function_MR>();<function_WN>(brightness=4)<end>,1,brightness=4
5ATRNP,엘이디 밝기 최소로 설정해줘,<function_WN>(brightness=0)<end>,0,brightness=0
5DMHUO,화면 밝기를 최대로 올려줘,<function_WN>(brightness=-1)<end>,0,brightness=-1
5FFDZW,엘이디 화면밝기를 일로 해줘,<function_WN>(brightness=1)<end>,0,brightness=1
5GPBVQ,엘씨디 화면 밝기를 영단계로 조절해줄래 그 다음에 이 책 읽어볼까,<function_WN>(brightness=0);<function_MR>()<end>,0,brightness=0
5IUUBR,엘이디 화면밝기를 오단계로 설정해줘,<function_WN>(brightness=5)<end>,0,brightness=5
