Index,Query,LLM Output,call_order,raw_args
0EZPFP,충전하러 복귀 이어서 음소거 되어있나요,<function_KI>();<function_MV>(get=True)<end>,1,get=True
0OKAPN,음소거 해제해줘,<function_MV>(mute=False)<end>,0,mute=False
0SKXEZ,음소거 취소해줘,<function_MV>(mute=False)<end>,0,mute=False
0YGHOM,지금 음소거 모드 해제해줘 그 후에 이 영화 명장면이지,<function_MV>(mute=False);<function_MR>()<end>,0,mute=False
1NDFQY,고정 공기 청정 실행해줘 또 음소거 상태 알려줘,<function_PG>();<function_MV>(get=True)<end>,1,get=True
1QQTYQ,음소거 기능 켜져있어,<function_MV>(get=True)<end>,0,get=True
1VMEHJ,음소거 기능 활성화를 원해요 그리고 이번에 새로 나온 영화 본 사람 있어,<function_MV>(mute=True);<function_MR>()<end>,0,mute=True
1YZFFJ,고정 공기 청정 가동 시작해줘 그리고 음소거 상태 알려줘,<function_PG>();<function_MV>(get=True)<end>,1,get=True
1ZJHEN,스테이션 위치로 복귀하세요 또 음소거 아닌 상태야,<function_KI>();<function_MV>(get=True)<end>,1,get=True
2NYLEI,음소거 꺼줘,<function_MV>(mute=False)<end>,0,mute=False
2PNVNI,청정 켜봐 그 다음에 음소거 상태를 만들어주시겠습니까,<function_PG>();<function_MV>(mute=True)<end>,1,mute=True
2XDPDK,소리 꺼줘,<function_MV>(mute=True)<end>,0,mute=True
3CXMTV,영화 다 보고 나서 카페 갈까 그 다음에 음소거가 꺼져있나요,<function_MR>();<function_MV>(get=True)<end>,1,get=True
3ZPAWO,음소거 아닌 상태야 그 다음에 영화 예매는 했어,<function_MV>(get=True);<function_MR>()<end>,0,get=True
4FIMOQ,청정 켜봐 또 지금 음소거 모드 해제해줘,<function_PG>();<function_MV>(mute=False)<end>,1,mute=False
4KYLCD,고정 공기 청정 실행해줘 그 후에 음소거 꺼,<function_PG>();<function_MV>(mute=False)<end>,1,mute=False
4RUKYN,스테이션 위치로 복귀하세요 다음으로 음소거 모드로 지정해줘,<function_KI>();<function_MV>(mute=True)<end>,1,mute=True
4UNVSX,스테이션 위치로 복귀하세요 그 후에 음소거 비활성화 해줘,<function_KI>();<function_MV>(mute=False)<end>,1,mute=False
5DUYSV,이제 그만 복귀해 그러고 나서 지금 음소거 모드 해제해줘,<function_KI>();<function_MV>(mute=False)<end>,1,mute=False
5FHFUU,요즘 인기 많은 드라마 뭐야 그 다음에 음소거 상태야,<function_MR>();<function_MV>(get=True)<end>,1,get=True
5YKLCI,스테이션 위치로 복귀하세요 이어서 음소거 꺼,<function_KI>();<function_MV>(mute=False)<end>,1,mute=False
6BESWK,음소거,<function_MV>(mute=True)<end>,0,mute=True
6BXHQG,음소거 켜줘,<function_MV>(mute=True)<end>,0,mute=True
6HTDXX,음소거해줘,<function_MV>(mute=True)<end>,0,mute=True
6NUNVW,청정 켜봐 음소거 상태를 만들어주시겠습니까,<function_PG>();<function_MV>(mute=True)<end>,1,mute=True
6XOVKU,충전하러 복귀 이어서 음소거 모드로 지정해줘,<function_KI>();<function_MV>(mute=True)<end>,1,mute=True
7WIUXF,음소거 설정이 어떻게되,<function_MV>(get=True)<end>,0,get=True
7ZVPTZ,고정 청정 온 그 후에 음소거 비활성화 해줘,<function_PG>();<function_MV>(mute=False)<end>,1,mute=False
8AIOWP,소리 켜줘,<function_MV>(mute=False)<end>,0,mute=False
8DIDAD,고정 공청 기능 켜줘 또 음소거 기능 활성화를 원해요,<function_PG>();<function_MV>(mute=True)<end>,1,mute=True
8FDFCK,음소거 되어있어,<function_MV>(get=True)<end>,0,get=True
8HLWCL,충전 위치로 되돌아가 그리고 음소거 아닌 상태야,<function_KI>();<function_MV>(get=True)<end>,1,get=True
9AQYVI,이 드라마 진짜 감동적이었어 그리고 음소거 해,<function_MR>();<function_MV>(mute=True)<end>,1,mute=True
9CNOKS,티비에서 무슨 영화 하는지 봤어 그 후에 음소거 해제해줘,<function_MR>();<function_MV>(mute=False)<end>,1,mute=False
9DAGJL,음소거 그만,<function_MV>(mute=False)<end>,0,mute=False
9MUFZD,새 시즌 언제 나오는지 알아 그리고 음소거 모드로 지정해줘,<function_MR>();<function_MV>(mute=True)<end>,1,mute=True
9OQEXT,이제 그만 복귀해 그리고 음소거 해,<function_KI>();<function_MV>(mute=True)<end>,1,mute=True
9ZSMST,음소거 상태야,<function_MV>(get=True)<end>,0,get=True
