Index,Query,LLM Output,call_order,raw_args
0ALMTU,지금 에이아이 모드 둘 다 작동시켜 주세요,"<function_BP>(enable=0, type=2)<end>",0,"enable=0, type=2"
0BOJBS,에이아이 모드에서 실외 대기질 정보 연동 켜주세요,"<function_BP>(enable=0, type=0)<end>",0,"enable=0, type=0"
0LDFUB,오랜만에 부모님과 시간을 보내려고 계획 중이야 그리고 에이아이 모드에서 공간별 누적 공기질 정보 연동 꺼주세요,"<function_MR>();<function_BP>(enable=1, type=1)<end>",1,"enable=1, type=1"
0RYLDI,오늘은 무슨 일을 해야 할지 모르겠어 그냥 쉬고 싶어 그 다음에 에이아이 모드의 공간별 공기질 데이터 연동 상태로 바꿔줘,"<function_MR>();<function_BP>(enable=0, type=1)<end>",1,"enable=0, type=1"
0TTMRN,당장 에이아이 모드 온 하도록 도와줄거지,"<function_BP>(enable=0, type=-1)<end>",0,"enable=0, type=-1"
1BXVYX,고정 공청 기능 켜줘 그리고 공간별 공기질 이력 연동 설정을 켜줄래요,"<function_PG>();<function_BP>(enable=0, type=1)<end>",1,"enable=0, type=1"
1GONVP,고정 공기 청정 가동 시작해줘 공간별 누적 공기질 정보 연동 옵션을 활성화해주실래요,"<function_PG>();<function_BP>(enable=0, type=1)<end>",1,"enable=0, type=1"
1JZMTA,실외 공기질 정보 연결 설정을 꺼줄래요 그러고 나서 다음 주말에 부모님과 시간을 보낼까 생각 중이야,"<function_BP>(enable=1, type=0);<function_MR>()<end>",0,"enable=1, type=0"
1KKZGA,바로 에이아이 기능 종료,"<function_BP>(enable=1, type=-1)<end>",0,"enable=1, type=-1"
1NAVMX,청정 켜봐 또 공간별 누적 대기질 정보 연동 작동 중인가요,<function_PG>();<function_BP>(get=True)<end>,1,get=True
1NTZAN,고정 공청 기능 켜줘 그리고 혹시 에이아이 모드 동시에 꺼주실 수 있나요,"<function_PG>();<function_BP>(enable=1, type=2)<end>",1,"enable=1, type=2"
1ZANWS,실외 대기질 정보 연동 기능을 비활성화해 주세요 에이아이 모드에서,"<function_BP>(enable=1, type=0)<end>",0,"enable=1, type=0"
2AJZHV,고정 공기 청정 가동 시작해줘 그리고 에이아이 모드에서 모두 종료할 수 있어,"<function_PG>();<function_BP>(enable=1, type=2)<end>",1,"enable=1, type=2"
2BDANS,이번 주에 새로운 프로젝트가 시작돼서 기대 중이야 그러고 나서 에이아이 모드의 외부 대기 상태 연동 꺼줘,"<function_MR>();<function_BP>(enable=1, type=0)<end>",1,"enable=1, type=0"
2EJSIT,고정 공청 기능 켜줘 다음으로 공간별 누적 공기질 정보 연동 옵션을 비활성화해주실래요,"<function_PG>();<function_BP>(enable=1, type=1)<end>",1,"enable=1, type=1"
2NZJUH,공간별 누적 대기질 정보 연동 작동 중인가요 이어서 오늘 하루는 너무 길어서 이제 좀 쉬고 싶어,<function_BP>(get=True);<function_MR>()<end>,0,get=True
2QNKWU,고정 공기 청정 가동 시작해줘 그리고 외부 공기질 데이터 연계 기능을 활성화할 수 있어,"<function_PG>();<function_BP>(enable=0, type=0)<end>",1,"enable=0, type=0"
2QUJCN,당장 에이아이 기능 오프,"<function_BP>(enable=1, type=-1)<end>",0,"enable=1, type=-1"
2SHRRW,바로 에이아이 기능 시작,"<function_BP>(enable=0, type=-1)<end>",0,"enable=0, type=-1"
2XAVXL,청정 켜봐 그리고 공간별 누적 대기질 정보 연동 작동 중인가요,<function_PG>();<function_BP>(get=True)<end>,1,get=True
3GYMVO,현재 AI 모드가 활성화되어 있는지 확인해 주세요.,<function_BP>(get=True)<end>,0,get=True
3GZCHO,요즘 스트레스를 많이 받아서 운동을 시작해볼까 생각 중이야 그러고 나서 에이아이 모드에서 실외 대기질 정보 연동 꺼주세요,"<function_MR>();<function_BP>(enable=1, type=0)<end>",1,"enable=1, type=0"
3IKGDY,실외 대기질 정보 연동이 꺼져 있는 상태인지 확인해주실래요 이어서 이번 주말에는 뭘 할까 미리 계획을 세워야겠어,<function_BP>(get=True);<function_MR>()<end>,0,get=True
3NTVVT,다음 주에는 새로운 취미를 시작해볼까 고민 중이야 또 에이아이 모드 둘 다 꺼주세요,"<function_MR>();<function_BP>(enable=1, type=2)<end>",1,"enable=1, type=2"
3SMLJX,에이아이 모드 둘 다 꺼주시기 바랍니다,"<function_BP>(enable=1, type=2)<end>",0,"enable=1, type=2"
3YZVYQ,혹시 에이아이 모드 둘 다 켜주실 수 있어요,"<function_BP>(enable=0, type=2)<end>",0,"enable=0, type=2"
4CVYOZ,혹시 에이아이 모드 작동 중인가요,<function_BP>(get=True)<end>,0,get=True
4FAJEG,에이아이 모드에서 외부 대기 상태 연동 꺼주세요,"<function_BP>(enable=1, type=0)<end>",0,"enable=1, type=0"
4FPXSE,실외 대기질 정보 연동 켜져 있습니까,<function_BP>(get=True)<end>,0,get=True
4JIRKT,당장 에이아이 기능 온,"<function_BP>(enable=0, type=-1)<end>",0,"enable=0, type=-1"
4NXYMS,혹시 에이아이 모드 동시에 꺼주실 수 있나요 또 오늘은 그냥 집에서 푹 쉬면서 시간을 보내려고 해,"<function_BP>(enable=1, type=2);<function_MR>()<end>",0,"enable=1, type=2"
4PDBZF,고정 공기 청정 가동 시작해줘 그 후에 에이아이 모드에서 실외 대기질 정보 연동 꺼주세요,"<function_PG>();<function_BP>(enable=1, type=0)<end>",1,"enable=1, type=0"
4PLZYZ,에이아이 모드에서 둘 다 실행 부탁드립니다,"<function_BP>(enable=0, type=2)<end>",0,"enable=0, type=2"
4WQDXS,내일은 뭘 해야 할지 아직 결정하지 못했어 이어서 에이아이 모드 비활성화되어 있는지 알려줘,<function_MR>();<function_BP>(get=True)<end>,1,get=True
4ZDIHB,고정 청정 온 다음으로 에이아이 모드의 외부 대기 상태 연동 꺼줘,"<function_PG>();<function_BP>(enable=1, type=0)<end>",1,"enable=1, type=0"
5AGRYR,공간별 누적 공기질 정보 연동 옵션을 활성화해주실래요 그 다음에 이번 주말에는 가족들이랑 시간을 보내려고 해 오랜만이야,"<function_BP>(enable=0, type=1);<function_MR>()<end>",0,"enable=0, type=1"
5BTIJN,에이아이 모드 둘 다 켜주시기 바랍니다,"<function_BP>(enable=0, type=2)<end>",0,"enable=0, type=2"
5DOQXG,고정 공청 기능 켜줘 그러고 나서 실외 대기질 정보 연동 옵션을 활성화해주실래요,"<function_PG>();<function_BP>(enable=0, type=0)<end>",1,"enable=0, type=0"
5DTKHE,공간별 공기질 이력 연동 옵션을 활성화해 주시면 감사하겠습니다 에이아이 모드 설정에서요,"<function_BP>(enable=0, type=1)<end>",0,"enable=0, type=1"
5HDBHN,청정 켜봐 이어서 에이아이 모드의 공간별 공기질 데이터 연동 상태로 바꿔줘,"<function_PG>();<function_BP>(enable=0, type=1)<end>",1,"enable=0, type=1"
5LSHEQ,실외 공기질 정보 연동 설정을 켜줄래요 그 후에 새로운 책을 시작했는데 너무 재밌어서 시간 가는 줄 모르겠어,"<function_BP>(enable=0, type=0);<function_MR>()<end>",0,"enable=0, type=0"
5OFZYE,에이아이 모드 창에서 공간별 누적 공기질 정보 연동 설정을 활성화해 주시길 부탁드립니다,"<function_BP>(enable=0, type=1)<end>",0,"enable=0, type=1"
5SYBPH,실외 대기질 정보 연동 옵션을 비활성화해주실래요 그러고 나서 내일 아침에는 일찍 일어나서 독서를 할까 생각 중이야,"<function_BP>(enable=1, type=0);<function_MR>()<end>",0,"enable=1, type=0"
5TMJBY,고정 공청 기능 켜줘 그러고 나서 지금 에이아이 모드 전부 작동시켜줄래,"<function_PG>();<function_BP>(enable=0, type=2)<end>",1,"enable=0, type=2"
5TUKCN,시작해 주실 수 있을까요 외부 공기질 데이터 연계 기능을 켜주세요,"<function_BP>(enable=0, type=0)<end>",0,"enable=0, type=0"
5VUQTN,실외 대기질 정보 연동 설정을 좀 꺼 주실 수 있을까요 에이아이 모드 들어가고 나서,"<function_BP>(enable=1, type=0)<end>",0,"enable=1, type=0"
5YMYFB,공간별 공기질 이력 연동 설정을 켜줄래요 그 다음에 이번 주말에는 무슨 요리를 해볼까 생각 중이야,"<function_BP>(enable=0, type=1);<function_MR>()<end>",0,"enable=0, type=1"
6BRYCL,공간별 누적 공기질 정보 연동 옵션을 비활성화해 주시면 감사하겠습니다 에이아이 모드 설정에서요 꺼주세요,"<function_BP>(enable=1, type=1)<end>",0,"enable=1, type=1"
6BVTOK,에이아이 모드의 실외 대기질 정보 연동 꺼주시길 바랍니다,"<function_BP>(enable=1, type=0)<end>",0,"enable=1, type=0"
6GCEAR,에이아이 모드의 실외 대기질 정보 연동 켜주시길 바랍니다,"<function_BP>(enable=0, type=0)<end>",0,"enable=0, type=0"
6KMSLR,공간별 누적 공기질 정보 연동 옵션을 비활성화해주실래요 그리고 이번 주말에는 무슨 영화를 볼지 미리 계획을 세워야겠어,"<function_BP>(enable=1, type=1);<function_MR>()<end>",0,"enable=1, type=1"
6MCKOD,내일은 아침 일찍 산책할 계획이야 다음으로 에이아이 모드 둘 다 켜주세요,"<function_MR>();<function_BP>(enable=0, type=2)<end>",1,"enable=0, type=2"
6TWEFY,혹시 에이아이 모드 동시에 켜주실 수 있나요 다음으로 이번 주말에는 캠핑을 가볼까 생각 중이야,"<function_BP>(enable=0, type=2);<function_MR>()<end>",0,"enable=0, type=2"
6UBKAM,에이아이 모드 켜져 있습니까,<function_BP>(get=True)<end>,0,get=True
6XIKJY,에이아이 모드 창에서 공간별 누적 공기질 정보 연동 설정을 비활성화해 주시길 부탁드립니다,"<function_BP>(enable=1, type=1)<end>",0,"enable=1, type=1"
7APUCU,청정 켜봐 또 혹시 에이아이 모드 동시에 꺼주실 수 있나요,"<function_PG>();<function_BP>(enable=1, type=2)<end>",1,"enable=1, type=2"
7BENTV,공간별 누적 공기질 정보 연동 옵션을 활성화해 주시면 감사하겠습니다 에이아이 모드 설정에서요,"<function_BP>(enable=0, type=1)<end>",0,"enable=0, type=1"
7CBUIN,고정 공기 청정 가동 시작해줘 이어서 에이아이 모드의 외부 대기 상태 연동 꺼줘,"<function_PG>();<function_BP>(enable=1, type=0)<end>",1,"enable=1, type=0"
7JBYWL,지금 에이아이 모드 활성화 상태인가요,<function_BP>(get=True)<end>,0,get=True
7OFWWS,에이아이 모드에서 둘 다 종료 부탁드립니다,"<function_BP>(enable=1, type=2)<end>",0,"enable=1, type=2"
