Index,Query,LLM Output,call_order,raw_args
0UPWCI,일반적으로 기기 설치 어디다가 하는 게 좋아,<function_CS>(type=1)<end>,0,type=1
2AADIF,공기청정기 몇 대 정도 있어야 가장 좋을까요?,<function_CS>(type=2)<end>,0,type=2
3YMZIP,이 공간에 공기청정기 몇 대 정도 둬야할까?,<function_CS>(type=2)<end>,0,type=2
3ZNYEZ,에어 센서 대체 어디에 두는 게 좋을까요,<function_CS>(type=3)<end>,0,type=3
4HDPSK,이 공기청정기를 몇 대 두는 게 좋을지 잘 모르겠어.,<function_CS>(type=2)<end>,0,type=2
5RCFQI,에어 센서 놓기에 가장 쾌적한 곳이 어디라 생각하니,<function_CS>(type=3)<end>,0,type=3
5YKPLC,공기청정기 몇 대가 있는 게 제일 이상적이야?,<function_CS>(type=2)<end>,0,type=2
6DPQDX,이 기기 어디에 설치하면 돼,<function_CS>(type=1)<end>,0,type=1
7DKVBA,이 기기 어디에다가 설치하면 되는거야,<function_CS>(type=1)<end>,0,type=1
7VTEQG,공기청정기 설치 위치로 어디가 좋을까,<function_CS>(type=1)<end>,0,type=1
8DIUCF,이 청정기를 집에 몇 대 놔야할지 모르겠어.,<function_CS>(type=2)<end>,0,type=2
8WLSHO,에어 센서는 어디에 설치하는 거야,<function_CS>(type=3)<end>,0,type=3
9ERLWX,공기청정기 어디에 놔두는 게 제일 나을까,<function_CS>(type=1)<end>,0,type=1
