Index,Query,LLM Output,call_order,raw_args
0CGIRU,음량을 영으로 설정해줘,<function_ZV>(volume=0)<end>,0,volume=0
0EIZRQ,효과음을 이단계로 설정해줘,<function_ZV>(volume=2)<end>,0,volume=2
0EZKGQ,볼륨 일로 해줘,<function_ZV>(volume=1)<end>,0,volume=1
0FILTG,이제 그만 복귀해 효과음을 5단계로 바꿔줘,<function_KI>();<function_ZV>(volume=5)<end>,1,volume=5
0KOGIY,소리 볼륨을 사로 맞춰줘 그리고 이번 주에 할 일이 많아서 큰일이야,<function_ZV>(volume=4);<function_MR>()<end>,0,volume=4
0LVBFV,미디음 오로 맞춰 또 아 맛있는 거 먹고 싶은걸,<function_ZV>(volume=5);<function_MR>()<end>,0,volume=5
0MRFDI,지금 뭐 하고 있어 이어서 효과음 볼륨이 현재 몇 퍼인지 알고 싶어요,<function_MR>();<function_ZV>(get=True)<end>,1,get=True
0OYVXQ,볼륨 삼으로 해줘,<function_ZV>(volume=3)<end>,0,volume=3
0VPLJC,터치음을 이십퍼로 설정해줘 그 다음에 주말에 만날래,<function_ZV>(volume=1);<function_MR>()<end>,0,volume=1
0XCBGQ,볼륨을 오로 맞춰줘,<function_ZV>(volume=5)<end>,0,volume=5
0XKLKK,볼륨 사로 해줘,<function_ZV>(volume=4)<end>,0,volume=4
0YHYDL,기본 수준으로 오디오 설정을 해주세요,<function_ZV>(volume=-1)<end>,0,volume=-1
1BGXUB,고정 공청 기능 켜줘 그 다음에 티티에스 볼륨을 사십프로로 바꿔줘,<function_PG>();<function_ZV>(volume=2)<end>,1,volume=2
1DKOMO,음량을 삼으로 설정해줘,<function_ZV>(volume=3)<end>,0,volume=3
1DVYRI,내일 뭐할 계획 있어 그 다음에 음량을 20퍼센트로 올려줘,<function_MR>();<function_ZV>(volume=1)<end>,1,volume=1
1FXZRP,볼륨을 낮춰줬으면 해요,<function_ZV>(volume=-1)<end>,0,volume=-1
1HCTFK,스테이션 위치로 복귀하세요 다음으로 소리 꺼줘,<function_KI>();<function_ZV>(volume=0)<end>,1,volume=0
1IQPLY,이 영화 진짜 재밌다 그러고 나서 음량을 60퍼센트로 올려줘,<function_MR>();<function_ZV>(volume=3)<end>,1,volume=3
1JBICW,충전하러 복귀 미디음을 1단계로 조정해줄래,<function_KI>();<function_ZV>(volume=1)<end>,1,volume=1
1POBXZ,이 책 정말 재밌어 다음으로 음량을 40퍼센트로 올려줘,<function_MR>();<function_ZV>(volume=2)<end>,1,volume=2
1PUDMH,볼륨을 삼으로 맞춰줘,<function_ZV>(volume=3)<end>,0,volume=3
1QOBSL,볼륨을 사로 맞춰줘,<function_ZV>(volume=4)<end>,0,volume=4
1SRZCD,볼륨을 낮춰줘야겠어요,<function_ZV>(volume=-1)<end>,0,volume=-1
1TZQZD,지금 음량 몇단계야,<function_ZV>(get=True)<end>,0,get=True
1VHLQG,고정 공청 기능 켜줘 이어서 미디음을 제일 낮게 설정해 줘,<function_PG>();<function_ZV>(volume=0)<end>,1,volume=0
1XGGOX,음량을 일로 설정해줘,<function_ZV>(volume=1)<end>,0,volume=1
1YDQNW,고정 공기 청정 실행해줘 그러고 나서 음량을 20퍼센트로 올려줘,<function_PG>();<function_ZV>(volume=1)<end>,1,volume=1
2ETPGM,소리 볼륨을 이로 맞춰줘 다음으로 이번 주말에 뭐 할거야,<function_ZV>(volume=2);<function_MR>()<end>,0,volume=2
2GFTMS,충전하러 복귀 이어서 터치음을 육십퍼로 설정해줘,<function_KI>();<function_ZV>(volume=3)<end>,1,volume=3
