Index,Query,LLM Output,call_order,raw_args
0AKHYG,화요일 일산 날씨 알려줘,"<function_MO>(timeframe=4, location=""일산"")<end>",0,"timeframe=4, location=""일산"""
0ANWQP,화요일 산티아고 날씨 어때,"<function_MO>(timeframe=4, location=""산티아고"")<end>",0,"timeframe=4, location=""산티아고"""
0AZGIR,토요일 세종시 날씨 더울까,"<function_MO>(timeframe=8, location=""세종시"")<end>",0,"timeframe=8, location=""세종시"""
0BQZFH,내일 아부다비 날씨 안내해줘,"<function_MO>(timeframe=1, location=""아부다비"")<end>",0,"timeframe=1, location=""아부다비"""
0BSKEH,앤트워프의 월요일 날씨 전망을 표시해주세요,"<function_MO>(timeframe=3, location=""앤트워프"")<end>",0,"timeframe=3, location=""앤트워프"""
0CLRLO,월요일 날씨 전망을 표시해줄 수 있어,"<function_MO>(timeframe=3, location=""0"")<end>",0,"timeframe=3, location=""0"""
0CWWOW,목요일 워르소 날씨에 눈 오니,"<function_MO>(timeframe=6, location=""워르소"")<end>",0,"timeframe=6, location=""워르소"""
0DBFXU,월요일 하얼빈 날씨 알려줘,"<function_MO>(timeframe=3, location=""하얼빈"")<end>",0,"timeframe=3, location=""하얼빈"""
0DTVES,주말 나이로비 날씨 더워,"<function_MO>(timeframe=2, location=""나이로비"")<end>",0,"timeframe=2, location=""나이로비"""
0DVAKD,화요일 마르세유 날씨 알려주세요,"<function_MO>(timeframe=4, location=""마르세유"")<end>",0,"timeframe=4, location=""마르세유"""
0EPTKU,월요일 멜버른 날씨 몇 도일까,"<function_MO>(timeframe=3, location=""멜버른"")<end>",0,"timeframe=3, location=""멜버른"""
0FMZYF,일요일 날씨 몇 도야,"<function_MO>(timeframe=9, location=""0"")<end>",0,"timeframe=9, location=""0"""
0FUQCU,목요일 슈투트가르트 날씨 어때요,"<function_MO>(timeframe=6, location=""슈투트가르트"")<end>",0,"timeframe=6, location=""슈투트가르트"""
0GNSLV,고정 공청 기능 켜줘 월요일 카이로 날씨 알려줘,"<function_PG>();<function_MO>(timeframe=3, location=카이로)<end>",1,"timeframe=3, location=카이로"
0GVAUX,주말 루체른 날씨가 어떤가요,"<function_MO>(timeframe=2, location=""루체른"")<end>",0,"timeframe=2, location=""루체른"""
0GVSTL,금요일 날씨 말해줘요,"<function_MO>(timeframe=7, location=""0"")<end>",0,"timeframe=7, location=""0"""
0HIIWN,다음 주에 있을 약속이 취소돼서 좀 아쉽다 그 다음에 수요일 날씨 알려줘,"<function_MR>();<function_MO>(timeframe=5, location=""0"")<end>",1,"timeframe=5, location=""0"""
0HMYJR,주말 포항 날씨 어때,"<function_MO>(timeframe=2, location=""포항"")<end>",0,"timeframe=2, location=""포항"""
0HRDBU,목요일 남원 날씨 좀 알려줄래,"<function_MO>(timeframe=6, location=""남원"")<end>",0,"timeframe=6, location=""남원"""
0IRLAD,중구 주말 날씨 알려줘,"<function_MO>(timeframe=2, location=""중구"")<end>",0,"timeframe=2, location=""중구"""
0JGZKX,월요일 익산 날씨 좀 알려주세요,"<function_MO>(timeframe=3, location=""익산"")<end>",0,"timeframe=3, location=""익산"""
0JJWJX,금요일 화성 날씨 알려줘,"<function_MO>(timeframe=7, location=""화성"")<end>",0,"timeframe=7, location=""화성"""
0LPUYJ,주말 날씨 보여줘,"<function_MO>(timeframe=2, location=""0"")<end>",0,"timeframe=2, location=""0"""
0MCJLT,내일 날씨 추울까 그 다음에 내일은 조금 일찍 일어나서 할 일 좀 미리 해둬야겠어,"<function_MO>(timeframe=1, location=""0"");<function_MR>()<end>",0,"timeframe=1, location=""0"""
0MRSFT,주말 날씨 알려줄래,"<function_MO>(timeframe=2, location=""0"")<end>",0,"timeframe=2, location=""0"""
0MRTNE,금요일 해운대 날씨 비 와 이어서 오늘은 하루 종일 바쁘게 보냈는데도 아직 해야 할 일이 남아있어,"<function_MO>(timeframe=7, location=해운대);<function_MR>()<end>",0,"timeframe=7, location=해운대"
0MSLWI,화요일 케이프타운 날씨 몇 도일까,"<function_MO>(timeframe=4, location=""케이프타운"")<end>",0,"timeframe=4, location=""케이프타운"""
0MZPOW,목요일 날씨 몇 도야,"<function_MO>(timeframe=6, location=""0"")<end>",0,"timeframe=6, location=""0"""
0NCQKH,금요일 날씨 정보 표시해줄래,"<function_MO>(timeframe=7, location=""0"")<end>",0,"timeframe=7, location=""0"""
0NHEGE,토요일 여기 날씨 어때,"<function_MO>(timeframe=8, location=""0"")<end>",0,"timeframe=8, location=""0"""
0NTOVG,충전하러 복귀 다음으로 아부다비의 수요일 날씨 정보 표시해줄래,"<function_KI>();<function_MO>(timeframe=5, location=아부다비)<end>",1,"timeframe=5, location=아부다비"
0OGNXA,금요일 날씨 많이 추워,"<function_MO>(timeframe=7, location=""보고"")<end>",0,"timeframe=7, location=""보고"""
0PUVTK,일요일 날씨 보여줘,"<function_MO>(timeframe=9, location=""0"")<end>",0,"timeframe=9, location=""0"""
0PXMFZ,수요일 오사카 날씨 비 와요,"<function_MO>(timeframe=5, location=""오사카"")<end>",0,"timeframe=5, location=""오사카"""
0QGDVH,주말 날씨 좀,"<function_MO>(timeframe=2, location=""0"")<end>",0,"timeframe=2, location=""0"""
0QJQMP,금요일 강서구 날씨 알려줘,"<function_MO>(timeframe=7, location=""강서구"")<end>",0,"timeframe=7, location=""강서구"""
0QYZGY,토요일 퀘벡 날씨 어때,"<function_MO>(timeframe=8, location=""퀘벡"")<end>",0,"timeframe=8, location=""퀘벡"""
0RHUVQ,수요일 양양 날씨 알려죠,"<function_MO>(timeframe=5, location=""양양"")<end>",0,"timeframe=5, location=""양양"""
0TIXHQ,목요일 날씨,"<function_MO>(timeframe=6, location=""0"")<end>",0,"timeframe=6, location=""0"""
0TJRGN,수요일 날씨 전망을 표시해줄 수 있어 그 다음에 새로운 옷을 사고 싶은데 어떤 스타일이 좋을지 고민이야,"<function_MO>(timeframe=5, location=""0"");<function_MR>()<end>",0,"timeframe=5, location=""0"""
0TSPLG,주말 날씨 알려죠,"<function_MO>(timeframe=2, location=""0"")<end>",0,"timeframe=2, location=""0"""
0WFORI,시드니의 목요일 날씨 안내해줘,"<function_MO>(timeframe=6, location=""시드니"")<end>",0,"timeframe=6, location=""시드니"""
0XZUHL,고정 공기 청정 가동 시작해줘 또 목요일 싱가포르 날씨 비 와,"<function_PG>();<function_MO>(timeframe=6, location=싱가포르)<end>",1,"timeframe=6, location=싱가포르"
0YMVNL,목요일 날씨 전망을 표시해줄 수 있어,"<function_MO>(timeframe=6, location=""0"")<end>",0,"timeframe=6, location=""0"""
0YOHIT,월요일 날씨 몇 도야,"<function_MO>(timeframe=3, location=""0"")<end>",0,"timeframe=3, location=""0"""
0YTROP,처음 위치로 돌아가주면 좋겠어 그 다음에 목요일 날씨 몇 도야,"<function_KI>();<function_MO>(timeframe=6, location=""0"")<end>",1,"timeframe=6, location=""0"""
0ZJQWT,월요일 다카 날씨 더워,"<function_MO>(timeframe=3, location=""다카"")<end>",0,"timeframe=3, location=""다카"""
0ZJXHW,금요일 날씨 전망을 표시해줄 수 있어 또 요즘 너무 바빠서 운동할 시간이 없어서 몸이 찌뿌둥해,"<function_MO>(timeframe=7, location=""0"");<function_MR>()<end>",0,"timeframe=7, location=""0"""
0ZPOYR,영화관에서 팝콘이랑 콜라 마시면서 영화 보고 싶다 다음으로 일요일 리우데자네이루 날씨 알려줘,"<function_MR>();<function_MO>(timeframe=9, location=리우데자네이루)<end>",1,"timeframe=9, location=리우데자네이루"
0ZSCUY,일요일 블라디보스토크 날씨에 눈 오니,"<function_MO>(timeframe=9, location=""블라디보스토크"")<end>",0,"timeframe=9, location=""블라디보스토크"""
