Index,Query,LLM Output,call_order,raw_args
0AWJDL,공기청정 소요시간이 얼마였어 그리고 내일은 조금 더 부지런하게 보내야겠어 할 일이 많아,<function_CE>();<function_MR>()<end>,0,
0CSGIE,내일 중요한 발표가 있는데 너무 긴장 돼 잘해야 할 텐데 그리고 청정 결과 보고서 보여줘,<function_MR>();<function_CE>()<end>,1,
0PSHSU,청정 리포트 보여줘,<function_CE>()<end>,0,
1FJVOR,청정 상태 보고서 보여줘,<function_CE>()<end>,0,
1ZCZNQ,쳥정 리포트 보고싶어,<function_CE>()<end>,0,
2XXMAC,고정 청정 온 이어서 청정 결과 미세먼지 농도 알려줘,<function_PG>();<function_CE>()<end>,1,
3EPOQJ,청정 결과 확인할래,<function_CE>()<end>,0,
3SEEKU,청정 결과 알려줘,<function_CE>()<end>,0,
5UOWDC,청정 결과 미세먼지 농도 알려줘 그리고 이번 주말에는 오랜만에 영화를 보러 가려고 해,<function_CE>();<function_MR>()<end>,0,
6QBPAS,고정 공기 청정 가동 시작해줘 그러고 나서 공기청정 언제 끝났니,<function_PG>();<function_CE>()<end>,1,
8WGQXW,고정 청정 온 그리고 청정 결과 보고서 보여줘,<function_PG>();<function_CE>()<end>,1,
