Index,Query,LLM Output,call_order,raw_args
0ASWQQ,이제 그만 복귀해 밝기를 일로 조정해줘,<function_KI>();<function_WN>(brightness=1)<end>,0,
0CIGVC,처음 위치로 돌아가주면 좋겠어 엘이디를 팔십프로로 바꿔줘,<function_KI>();<function_WN>(brightness=4)<end>,0,
0DCNQW,이제 그만 복귀해 그리고 화면 밝기를 4단계로 조정해줄래,<function_KI>();<function_WN>(brightness=4)<end>,0,
0EZPFP,충전하러 복귀 이어서 음소거 되어있나요,<function_KI>();<function_MV>(get=True)<end>,0,
0FILTG,이제 그만 복귀해 효과음을 5단계로 바꿔줘,<function_KI>();<function_ZV>(volume=5)<end>,0,
0FTAMX,충전하러 복귀 그 다음에 월요일 공기질 상태 알려줘,"<function_KI>();<function_IO>(timeframe=3, location=""0"")<end>",0,
0FVGFB,스테이션 위치로 복귀하세요 그리고 일요일 미세먼지 정보 보여줘,"<function_KI>();<function_IO>(timeframe=9, location=""0"")<end>",0,
0GKANF,처음 위치로 돌아가주면 좋겠어 그리고 유부이 에릴디 작동 중이야,<function_KI>();<function_NN>(get=True)<end>,0,
0ILGGD,충전하러 복귀 다음으로 주말 공기질 지수를 화면에 보여줘,"<function_KI>();<function_IO>(timeframe=2, location=""0"")<end>",0,
0KXCPQ,처음 위치로 돌아가주면 좋겠어 그 다음에 일요일 공기질 상태 알려줘,"<function_KI>();<function_IO>(timeframe=9, location=""0"")<end>",0,
0MCXQC,충전하러 복귀 그 다음에 전체 공간 청정 해줘,<function_KI>();<function_EF>(action=1)<end>,0,
0NTOVG,충전하러 복귀 다음으로 아부다비의 수요일 날씨 정보 표시해줄래,"<function_KI>();<function_MO>(timeframe=5, location=아부다비)<end>",0,
0PVKTV,충전 위치로 되돌아가 그 다음에 엘씨디 조명을 2로 줄여줄래,<function_KI>();<function_WN>(brightness=2)<end>,0,
0QYOZF,스테이션 위치로 복귀하세요 그리고 공기질 모니터링 기능 켜줘,"<function_KI>();<function_IO>(timeframe=0, location=""0"")<end>",0,
0RGUWI,이제 그만 복귀해 이어서 고정 공청 기능 켜줘,<function_KI>();<function_PG>()<end>,0,
0RQVYL,충전 위치로 되돌아가 그리고 일요일 전주 미세먼지 어때,"<function_KI>();<function_IO>(timeframe=9, location=전주)<end>",0,
0WKHKW,충전 위치로 되돌아가 또 유뷔 엘리디 작동 정지해,<function_KI>();<function_NN>(enable=False)<end>,0,
0YTROP,처음 위치로 돌아가주면 좋겠어 그 다음에 목요일 날씨 몇 도야,"<function_KI>();<function_MO>(timeframe=6, location=""0"")<end>",0,
1AHNGR,이제 그만 복귀해 다음으로 화요일 미세먼지 농도 어때,"<function_KI>();<function_IO>(timeframe=4, location=""0"")<end>",0,
1BGDQN,충전 위치로 되돌아가 그리고 풍속 터보로 조정해줘,<function_KI>();<function_NK>(speed=4)<end>,0,
1BYXJK,처음 위치로 돌아가주면 좋겠어 그리고 현재 하노이 날씨 알려주세요,"<function_KI>();<function_MO>(timeframe=0, location=하노이)<end>",0,
1GPSJR,충전 위치로 되돌아가 그 다음에 주말 미세먼지 농도 어때,"<function_KI>();<function_IO>(timeframe=2, location=""0"")<end>",0,
1HCTFK,스테이션 위치로 복귀하세요 다음으로 소리 꺼줘,<function_KI>();<function_ZV>(volume=0)<end>,0,
1IFIXM,처음 위치로 돌아가주면 좋겠어 그 다음에 기기 언어 설정 한국어로 바꿔줘,<function_KI>();<function_HS>(type=1)<end>,0,
1IOTVP,처음 위치로 돌아가주면 좋겠어 그 다음에 언어 영어로 맞춰,<function_KI>();<function_HS>(type=2)<end>,0,
1JBICW,충전하러 복귀 미디음을 1단계로 조정해줄래,<function_KI>();<function_ZV>(volume=1)<end>,0,
1JJRIR,충전 하러가,<function_KI>()<end>,0,
1QQMEI,충전하러 복귀 다음으로 한글로 언어 설정 바꿔줘,<function_KI>();<function_HS>(type=1)<end>,0,
1QYEZU,처음 위치로 돌아가주면 좋겠어 그러고 나서 현재 하노이 공기질 알려주세요,"<function_KI>();<function_IO>(timeframe=0, location=하노이)<end>",0,
1RYGFY,이제 그만 복귀해 월요일 날씨 몇 도야,"<function_KI>();<function_MO>(timeframe=3, location=""0"")<end>",0,
1SCYJG,처음 위치로 돌아가주면 좋겠어 다음으로 월요일 리우데자네이루 날씨 비 와,"<function_KI>();<function_MO>(timeframe=3, location=리우데자네이루)<end>",0,
1THYAR,이제 그만 복귀해 다음으로 스캐닝 청정 상태 좀 알려줘,<function_KI>();<function_IH>(get=True)<end>,0,
1UBCKN,스테이션 위치로 복귀하세요 그리고 풍속 자동으로 해줘,<function_KI>();<function_NK>(speed=0)<end>,0,
1UYXXA,이제 그만 복귀해 그리고 월요일 날씨 알려줘,"<function_KI>();<function_MO>(timeframe=3, location=""0"")<end>",0,
1UZXUB,스테이션 위치로 복귀하세요 그리고 엘이디 조명 꺼줘,<function_KI>();<function_WN>(brightness=0)<end>,0,
1VOPRN,스테이션 위치로 복귀하세요 오늘 부산 공기 어때,"<function_KI>();<function_IO>(timeframe=0, location=부산)<end>",0,
1WHTMO,충전 위치로 되돌아가 또 수요일 날씨 알려줘,"<function_KI>();<function_MO>(timeframe=5, location=""0"")<end>",0,
1WPPGX,스테이션 위치로 복귀하세요 그리고 바람 강도 터보로 맞춰줘,<function_KI>();<function_NK>(speed=4)<end>,0,
1ZJHEN,스테이션 위치로 복귀하세요 또 음소거 아닌 상태야,<function_KI>();<function_MV>(get=True)<end>,0,
1ZTUFQ,이제 그만 복귀해 그리고 목요일 날씨 전망을 표시해줄 수 있어,"<function_KI>();<function_MO>(timeframe=6, location=""0"")<end>",0,
2BHSWN,이제 그만 복귀해 그리고 강풍 바람 세기로 해줘,<function_KI>();<function_NK>(speed=3)<end>,0,
2DRJHC,충전하러 복귀 그리고 팬 풍냥 중풍 세기로 해줘,<function_KI>();<function_NK>(speed=2)<end>,0,
2GFTMS,충전하러 복귀 이어서 터치음을 육십퍼로 설정해줘,<function_KI>();<function_ZV>(volume=3)<end>,0,
2GNVII,스테이션 위치로 복귀하세요 그 후에 일요일 군산 대기질을 화면에 보여줘,"<function_KI>();<function_IO>(timeframe=9, location=군산)<end>",0,
2HIHZN,이제 그만 복귀해 또 음량을 40퍼센트로 올려줘,<function_KI>();<function_ZV>(volume=2)<end>,0,
2IGDLX,스테이션 복귀해,<function_KI>()<end>,0,
2IJLJR,충전하러 복귀 다음으로 공기질 상태 표시 작동 정지해,<function_KI>();<function_SC>(enable=False)<end>,0,
2JABAE,이제 그만 복귀해 그리고 엘씨디를 0프로 밝기로 조정해줄래,<function_KI>();<function_WN>(brightness=0)<end>,0,
2NCBNM,충전하러 복귀 이어서 목요일 날씨 알려줘,"<function_KI>();<function_MO>(timeframe=6, location=""0"")<end>",0,
2RPNIY,충전하러 움직여,<function_KI>()<end>,0,
2SKCQS,스테이션 위치로 복귀하세요 그리고 가장 낮은 단계로 밝기를 조정할 수 있어,<function_KI>();<function_WN>(brightness=0)<end>,0,
2UZRGF,충전 위치로 되돌아가 다음으로 수요일 여기에 공기가 나쁠까,"<function_KI>();<function_IO>(timeframe=5, location=""0"")<end>",0,
2XPJFJ,처음 위치로 돌아가주면 좋겠어 다음으로 풍속 설정된 값 확인해줄래,<function_KI>();<function_NK>(get=True)<end>,0,
2ZDMVI,스테이션 위치로 복귀하세요 그리고 화요일 여기에 공기가 나쁠까,"<function_KI>();<function_IO>(timeframe=4, location=""0"")<end>",0,
2ZLFKL,충전하러 복귀 그리고 고정 공기 청정 가동 시작해줘,<function_KI>();<function_PG>()<end>,0,
2ZOAEC,충전하러 복귀 그리고 내일 날씨 전망을 표시해줄 수 있어,"<function_KI>();<function_MO>(timeframe=1, location=""0"")<end>",0,
3BHXFY,충전하러 복귀 또 토요일 여기에 공기가 나쁠까,"<function_KI>();<function_IO>(timeframe=8, location=""0"")<end>",0,
3CEHIR,처음 위치로 돌아가주면 좋겠어 마닐라의 목요일 날씨 정보 표시해줄래,"<function_KI>();<function_MO>(timeframe=6, location=마닐라)<end>",0,
3EPBEY,이제 그만 복귀해 그 후에 엘씨디 디스플레이 밝기 삼으로 바꿔,<function_KI>();<function_WN>(brightness=3)<end>,0,
3GGQIU,충전하러 복귀 그러고 나서 소리 볼륨을 사로 맞춰줘,<function_KI>();<function_ZV>(volume=4)<end>,0,
3HRAPF,충전하러 복귀 그 후에 오늘 공기 모니터링 화면 띄워줘,"<function_KI>();<function_IO>(timeframe=0, location=""0"")<end>",0,
3IAXBW,이제 그만 복귀해 또 모임실으로 가서 청정해 줘,<function_KI>();<function_FF>(position=모임실)<end>,0,
3IJASD,이제 그만 복귀해 또 전체 이동 공기청정 할래,<function_KI>();<function_EF>(action=1)<end>,0,
3JBHPX,충전하러 복귀 다음으로 수요일 여기에 공기가 나쁠까,"<function_KI>();<function_IO>(timeframe=5, location=""0"")<end>",0,
3JEXVK,이제 그만 복귀해 그러고 나서 금요일 미세먼지 농도 어때,"<function_KI>();<function_IO>(timeframe=7, location=""0"")<end>",0,
3JFKMH,처음 위치로 돌아가주면 좋겠어 그 후에 유비 에리디 상태가 어떤가요,<function_KI>();<function_NN>(get=True)<end>,0,
3JIDMA,충전하러 복귀 그리고 월요일 케이프타운 미세먼지 어때,"<function_KI>();<function_IO>(timeframe=3, location=케이프타운)<end>",0,
3KJYZN,충전하러 복귀 이어서 배터리 상태 알려줘,<function_KI>();<function_JJ>()<end>,0,
3KQGYW,처음 위치로 돌아가주면 좋겠어 그러고 나서 유아부실에서 청정해 줘,<function_KI>();<function_FF>(position=유아부실)<end>,0,
3LCODL,충전하러 복귀 그 다음에 공기질 상태 표시 켜줘,<function_KI>();<function_SC>(enable=True)<end>,0,
3MHRWK,충전 위치로 되돌아가 그 다음에 수요일 카사블랑카 날씨 알려줘,"<function_KI>();<function_MO>(timeframe=5, location=카사블랑카)<end>",0,
3MLREV,충전하러 복귀 또 미디음을 제일 낮게 설정해 줘,<function_KI>();<function_ZV>(volume=0)<end>,0,
3OMISO,스테이션 위치로 복귀하세요 엘이디 불빛을 60퍼센트로 올려죠,<function_KI>();<function_WN>(brightness=3)<end>,0,
3OOVRZ,충전 위치로 되돌아가 또 카트만두의 목요일 날씨 정보 표시해줄래,"<function_KI>();<function_MO>(timeframe=6, location=카트만두)<end>",0,
3RCZQV,충전하러 복귀 그리고 터치음을 사십퍼로 올려줘,<function_KI>();<function_ZV>(volume=2)<end>,0,
