Index,Query,LLM Output,call_order,raw_args
0AHOUT,음성인식 켜져있어,<function_QT>(get=True)<end>,0,get=True
0EERGG,음성인식 기능 활성화 해줘,<function_QT>(enable=True)<end>,0,enable=True
1ALWIP,듣기 모드 시작해 그리고 새로 시작한 취미가 너무 재미있어서 시간 가는 줄 모르겠어,<function_QT>(enable=True);<function_MR>()<end>,0,enable=True
1IZFOD,고정 공기 청정 가동 시작해줘 나무 현재 상태 확인해줘,<function_PG>();<function_QT>(get=True)<end>,1,get=True
1JWAVZ,음성인식 중지해줘,<function_QT>(enable=False)<end>,0,enable=False
1QIHEA,고정 공기 청정 실행해줘 그 후에 듣기 기능 활성화됐나요,<function_PG>();<function_QT>(get=True)<end>,1,get=True
1YEGLO,고정 공기 청정 실행해줘 음성 인식 기능 켜줘,<function_PG>();<function_QT>(enable=True)<end>,1,enable=True
1ZYOPX,음성인식 기능 켜져있어,<function_QT>(get=True)<end>,0,get=True
3FYWBC,음성 인지 시스템 종료해 그러고 나서 책을 다 읽었는데 이제 무슨 책을 읽어야 할지 고민이네,<function_QT>(enable=False);<function_MR>()<end>,0,enable=False
3KUSZH,음성 인식이 작동되어있나요 또 이번 달은 너무 바빠서 친구들 만날 시간이 없었어,<function_QT>(get=True);<function_MR>()<end>,0,get=True
3MJDOL,고정 공청 기능 켜줘 그러고 나서 나무 설정 비활성화해줘,<function_PG>();<function_QT>(enable=False)<end>,1,enable=False
4ATMIC,저녁에 뭐 먹을지 고민되는데 중국음식도 좋을 것 같아 그리고 나무 실행해,<function_MR>();<function_QT>(enable=True)<end>,1,enable=True
4BNLXU,요즘 스트레스를 너무 많이 받아서 운동으로 풀려고 해 또 음성 인식 상태 알려줘,<function_MR>();<function_QT>(get=True)<end>,1,get=True
4JXQLR,음성인식 상태가 어때,<function_QT>(get=True)<end>,0,get=True
5ANQLE,듣기 모드 중지해 그러고 나서 오늘은 하루 종일 비가 와서 기분이 축 처지네,<function_QT>(enable=False);<function_MR>()<end>,0,enable=False
5CNHZU,듣기 기능 활성화됐나요 또 내일 아침에 일찍 일어나서 산책을 나가볼까 생각 중이야,<function_QT>(get=True);<function_MR>()<end>,0,get=True
5PKWEL,음성인식 켜줘,<function_QT>(enable=True)<end>,0,enable=True
6FYUDI,음성인식 시작해줘,<function_QT>(enable=True)<end>,0,enable=True
6RDFMQ,음성인식 기능 중지해줘,<function_QT>(enable=False)<end>,0,enable=False
7BNOZN,요즘 들어 너무 바빠서 쉬는 날이 필요해 그러고 나서 나무 설정 비활성화해줘,<function_MR>();<function_QT>(enable=False)<end>,1,enable=False
7DMKYX,고정 공청 기능 켜줘 음성 인지 작동 시작해줘,<function_PG>();<function_QT>(enable=True)<end>,1,enable=True
7FKAUO,음성인식 꺼줘,<function_QT>(enable=False)<end>,0,enable=False
7KFRFM,음성인식 기능 멈춰줘,<function_QT>(enable=False)<end>,0,enable=False
7KJHBB,고정 공청 기능 켜줘 그 다음에 음성 인지 시스템 종료해,<function_PG>();<function_QT>(enable=False)<end>,1,enable=False
7OYGMS,고정 공청 기능 켜줘 그리고 듣기 모드 시작해,<function_PG>();<function_QT>(enable=True)<end>,1,enable=True
8QULDE,새로 산 자켓이 너무 마음에 들어서 매일 입고 다니고 있어 또 나무 현재 상태 확인해줘,<function_MR>();<function_QT>(get=True)<end>,1,get=True
8SXTEQ,음성인식 기능 켜줘,<function_QT>(enable=True)<end>,0,enable=True
9AGULF,음성인식 상태 알려줘,<function_QT>(get=True)<end>,0,get=True
9HVHOM,음성 인지 작동 시작해줘 그리고 새로 나온 노래가 인기가 많던데 한번 들어봐야겠어,<function_QT>(enable=True);<function_MR>()<end>,0,enable=True
9XEHJL,청정 켜봐 하이나무 오프해줘,<function_PG>();<function_QT>(enable=False)<end>,1,enable=False
