Index,Query,LLM Output,call_order,raw_args
0ABOVW,월요일 자카르타 대기질을 화면에 보여줘 다음으로 자격증 준비하고 있니,"<function_IO>(timeframe=3, location=자카르타);<function_MR>()<end>",0,"timeframe=3, location=자카르타"
0BTVBV,현재 판교 공기질 알려주세요 그리고 새로 시작한 운동이 뭐야,"<function_IO>(timeframe=0, location=판교);<function_MR>()<end>",0,"timeframe=0, location=판교"
0DJGSA,현재 공기질 모니터링 어떤지 알려줘,"<function_IO>(timeframe=0, location=""0"")<end>",0,"timeframe=0, location=""0"""
0DUGVV,지금 공기질 모니터링 상태 확인하게 해주세요,"<function_IO>(timeframe=0, location=""0"")<end>",0,"timeframe=0, location=""0"""
0EQFYI,공기질 모니터링 상황 좀 보여줄래,"<function_IO>(timeframe=0, location=""0"")<end>",0,"timeframe=0, location=""0"""
0FQABR,새로 나온 영화 예고편 봤어 되게 재밌어 보이더라 이어서 수요일 나폴리 공기질 때문에 마스크 써야 할까,"<function_MR>();<function_IO>(timeframe=5, location=나폴리)<end>",1,"timeframe=5, location=나폴리"
0FTAMX,충전하러 복귀 그 다음에 월요일 공기질 상태 알려줘,"<function_KI>();<function_IO>(timeframe=3, location=""0"")<end>",1,"timeframe=3, location=""0"""
0FVGFB,스테이션 위치로 복귀하세요 그리고 일요일 미세먼지 정보 보여줘,"<function_KI>();<function_IO>(timeframe=9, location=""0"")<end>",1,"timeframe=9, location=""0"""
0HBSJG,현재 해운대 공기질 상황 어때,"<function_IO>(timeframe=0, location=""해운대"")<end>",0,"timeframe=0, location=""해운대"""
0IFMPP,고정 청정 온 일요일 미세먼지 농도 어때,"<function_PG>();<function_IO>(timeframe=9, location=""0"")<end>",1,"timeframe=9, location=""0"""
0ILGGD,충전하러 복귀 다음으로 주말 공기질 지수를 화면에 보여줘,"<function_KI>();<function_IO>(timeframe=2, location=""0"")<end>",1,"timeframe=2, location=""0"""
0IZVJR,목요일 광진구 공기질 걱정해야 할까 그 후에 다음 달에 친구랑 여행 갈 계획 세우고 있어,"<function_IO>(timeframe=6, location=광진구);<function_MR>()<end>",0,"timeframe=6, location=광진구"
0KXCPQ,처음 위치로 돌아가주면 좋겠어 그 다음에 일요일 공기질 상태 알려줘,"<function_KI>();<function_IO>(timeframe=9, location=""0"")<end>",1,"timeframe=9, location=""0"""
0LCHIL,공기질 모니터링 확인 필요해,"<function_IO>(timeframe=0, location=""0"")<end>",0,"timeframe=0, location=""0"""
0LRQLL,실내 공기질 모니터링 창을 열어줘,"<function_IO>(timeframe=0, location=""0"")<end>",0,"timeframe=0, location=""0"""
0MCPHM,청정 켜봐 그 다음에 월요일 기기 근처 공기 상태는 어때,"<function_PG>();<function_IO>(timeframe=3, location=""0"")<end>",1,"timeframe=3, location=""0"""
0NASFW,내일 카트만두 초미세먼지 몇이야,"<function_IO>(timeframe=1, location=""카트만두"")<end>",0,"timeframe=1, location=""카트만두"""
0NZHTU,내일 강릉 미세먼지 어때,"<function_IO>(timeframe=1, location=""강릉"")<end>",0,"timeframe=1, location=""강릉"""
0QQGCV,내일 앙카라의 초미세먼지 수치를 보여줘,"<function_IO>(timeframe=1, location=""앙카라"")<end>",0,"timeframe=1, location=""앙카라"""
0QWCES,화요일 뉴델리 대기질을 화면에 보여줘 그리고 요즘 공부하는 게 힘들어,"<function_IO>(timeframe=4, location=뉴델리);<function_MR>()<end>",0,"timeframe=4, location=뉴델리"
0QYOZF,스테이션 위치로 복귀하세요 그리고 공기질 모니터링 기능 켜줘,"<function_KI>();<function_IO>(timeframe=0, location=""0"")<end>",1,"timeframe=0, location=""0"""
0RQVYL,충전 위치로 되돌아가 그리고 일요일 전주 미세먼지 어때,"<function_KI>();<function_IO>(timeframe=9, location=전주)<end>",1,"timeframe=9, location=전주"
0SIBYE,내일 시드니 포름알데히드 농도 높아,"<function_IO>(timeframe=1, location=""시드니"")<end>",0,"timeframe=1, location=""시드니"""
0TFVWN,주말 마스크 써야 할 정도로 공기 안 좋을까,"<function_IO>(timeframe=2, location=""0"")<end>",0,"timeframe=2, location=""0"""
0UZMEO,내일 여기 공기 상태 알려줘,"<function_IO>(timeframe=1, location=""0"")<end>",0,"timeframe=1, location=""0"""
