Index,Query,LLM Output,call_order,raw_args
0AUYXL,고정 청정 온 다음으로 센서 감도를 민감으로 바꿔줄래,<function_PG>();<function_QD>(type=2)<end>,0,
0BWRJQ,청정 켜봐 이어서 음성을 남자로 전환해줄래,<function_PG>();<function_GQ>(gender=2)<end>,0,
0CEMNU,고정 공기 청정 실행해줘 이어서 밝기를 2로 조정해줘,<function_PG>();<function_WN>(brightness=2)<end>,0,
0FFTCF,고정 청정 온 그리고 공기질 상태 표시 작동 중인지 알려줘,<function_PG>();<function_SC>(get=True)<end>,0,
0FQPUP,고정 공기 청정 실행해줘 그 다음에 프라이버시 상태 확인해줘,<function_PG>();<function_GN>(get=True)<end>,0,
0GJEHI,고정 공기 청정 가동 시작해줘 그러고 나서 하이나무 남자로 설정해주세요,<function_PG>();<function_GQ>(gender=2)<end>,0,
0GNSLV,고정 공청 기능 켜줘 월요일 카이로 날씨 알려줘,"<function_PG>();<function_MO>(timeframe=3, location=카이로)<end>",0,
0HFNAV,청정 켜봐 그리고 매너모드 켜줘,<function_PG>();<function_ZX>(enable=True)<end>,0,
0IFMPP,고정 청정 온 일요일 미세먼지 농도 어때,"<function_PG>();<function_IO>(timeframe=9, location=""0"")<end>",0,
0KGFNC,고정 공기 청정 가동 시작해줘 그러고 나서 센서 민감도 상태 알려주세요,<function_PG>();<function_QD>(get=True)<end>,0,
0KGRNT,고정 공청 기능 켜줘 그 다음에 엘씨디 조도를 삼단계로 맞춰줄래,<function_PG>();<function_WN>(brightness=3)<end>,0,
0MBHUR,고정 공기 청정 실행해줘 다음으로 목소리 설정이 어떻게 되어있나요,<function_PG>();<function_GQ>(get=True)<end>,0,
0MCPHM,청정 켜봐 그 다음에 월요일 기기 근처 공기 상태는 어때,"<function_PG>();<function_IO>(timeframe=3, location=""0"")<end>",0,
0NFKHG,고정 공청 기능 켜줘 그 다음에 엘이디 조명 꺼줘,<function_PG>();<function_WN>(brightness=0)<end>,0,
0NZBLE,고정 공청 기능 켜줘 감지 민감도를 낮게 조정할 수 있어,<function_PG>();<function_QD>(type=0)<end>,0,
0QOEFS,고정 청정 온 또 프라이버시 설정 활성화해줄 수 있어,<function_PG>();<function_GN>(enable=True)<end>,0,
0RGUWI,이제 그만 복귀해 이어서 고정 공청 기능 켜줘,<function_KI>();<function_PG>()<end>,1,
0RPXRW,청정 켜봐 그리고 기기 언어 영어로 바꿔줄래,<function_PG>();<function_HS>(type=2)<end>,0,
0RWIAP,고정 공기 청정 실행해줘 그 후에 엘이디 공기질 상태 표시 기능 작동,<function_PG>();<function_SC>(enable=True)<end>,0,
0VRWDW,고정 공청 기능 켜줘 그리고 요즘 드라마 뭐 재밌어,<function_PG>();<function_MR>()<end>,0,
0WUGLT,고정 공기 청정 실행해줘 그리고 배터리 몇 퍼센트야,<function_PG>();<function_JJ>()<end>,0,
0XZUHL,고정 공기 청정 가동 시작해줘 또 목요일 싱가포르 날씨 비 와,"<function_PG>();<function_MO>(timeframe=6, location=싱가포르)<end>",0,
1AMVKE,고정 공기 청정 실행해줘 이어서 일요일 날씨 추울까,"<function_PG>();<function_MO>(timeframe=9, location=""0"")<end>",0,
1BGXUB,고정 공청 기능 켜줘 그 다음에 티티에스 볼륨을 사십프로로 바꿔줘,<function_PG>();<function_ZV>(volume=2)<end>,0,
1BXVYX,고정 공청 기능 켜줘 그리고 공간별 공기질 이력 연동 설정을 켜줄래요,"<function_PG>();<function_BP>(enable=0, type=1)<end>",0,
1BZDGL,고정 청정 온 또 유비이 에리디 빛 켜주라,<function_PG>();<function_NN>(enable=True)<end>,0,
1CUPEZ,고정 공기 청정 가동 시작해줘 그 다음에 나이트 모드 시작할래,<function_PG>();<function_BS>(enable=True)<end>,0,
1DNZQQ,고정 공기 청정 가동 시작해줘 그러고 나서 주말 베이징 날씨 몇 도야,"<function_PG>();<function_MO>(timeframe=2, location=베이징)<end>",0,
