Index,Query,LLM Output,call_order,raw_args
0BWRJQ,청정 켜봐 이어서 음성을 남자로 전환해줄래,<function_PG>();<function_GQ>(gender=2)<end>,1,gender=2
0GJEHI,고정 공기 청정 가동 시작해줘 그러고 나서 하이나무 남자로 설정해주세요,<function_PG>();<function_GQ>(gender=2)<end>,1,gender=2
0MBHUR,고정 공기 청정 실행해줘 다음으로 목소리 설정이 어떻게 되어있나요,<function_PG>();<function_GQ>(get=True)<end>,1,get=True
0QZVMD,다른 성별의 목소리로 변경해 주세요.,<function_GQ>(gender=-1)<end>,0,gender=-1
0SRVSR,나무 음성 성별 상태 알려줘,<function_GQ>(get=True)<end>,0,get=True
0WYYBI,나무 음성 성별 알려줘,<function_GQ>(get=True)<end>,0,get=True
1DXTXQ,목소리 성별 바꿀래요,<function_GQ>(gender=-1)<end>,0,gender=-1
1HDZEK,목소리 남성으로 바꿔줘,<function_GQ>(gender=2)<end>,0,gender=2
1ITGHW,성별을 다른 목소리로 설정해 주세요.,<function_GQ>(gender=-1)<end>,0,gender=-1
2EFMPG,목소리 성별 바꾸게 도와줘,<function_GQ>(gender=-1)<end>,0,gender=-1
2FRTXV,남성 목소리로 설정해줘,<function_GQ>(gender=2)<end>,0,gender=2
2IIESY,목소리 여성으로 설정해줘,<function_GQ>(gender=1)<end>,0,gender=1
2MBWRT,나무 남성으로 지정해주실래요 그 다음에 다음 달에 있을 여행을 위해 준비해야 할 것들이 많아,<function_GQ>(gender=2);<function_MR>()<end>,0,gender=2
2SLIVV,목소리 성별 바꿔,<function_GQ>(gender=-1)<end>,0,gender=-1
2YSWKS,목소리 성별을 변경하고 싶어요.,<function_GQ>(gender=-1)<end>,0,gender=-1
2YTQDT,제가 원하는 성별의 목소리로 바꿔주세요.,<function_GQ>(gender=-1)<end>,0,gender=-1
2ZOKOZ,목소리 설정이 어떻게 되어있나요 다음으로 내일은 운동을 꼭 해야겠어 요즘 너무 게을러졌어,<function_GQ>(get=True);<function_MR>()<end>,0,get=True
3PUQUR,남성 목소리로 바꿔줘,<function_GQ>(gender=2)<end>,0,gender=2
3VXEEP,목소리의 성별을 바꿔주세요.,<function_GQ>(gender=-1)<end>,0,gender=-1
4BGQLY,청정 켜봐 그 후에 나무 남성으로 지정해주실래요,<function_PG>();<function_GQ>(gender=2)<end>,1,gender=2
4CYWMX,새로 산 자켓이 정말 마음에 들어 매일 입고 다니고 있어 그 다음에 목소리를 남성으로 바꿔줘,<function_MR>();<function_GQ>(gender=2)<end>,1,gender=2
4OYBUA,새로 산 책을 읽고 있는데 너무 재미있어 그 후에 목소리 여성으로 바꿔줘,<function_MR>();<function_GQ>(gender=1)<end>,1,gender=1
4YXTYY,주말에는 친구들이랑 오랜만에 만나기로 했어 기대 돼 그 다음에 남성 보이스로 변경해주세요,<function_MR>();<function_GQ>(gender=2)<end>,1,gender=2
6DCXFC,목소리 설정 남성으로 변경해줘,<function_GQ>(gender=2)<end>,0,gender=2
6IJRTN,하이나무 음성 성별이 뭐야,<function_GQ>(get=True)<end>,0,get=True
6WALHN,고정 공기 청정 실행해줘 다음으로 여성 음성으로 지정해주실래요,<function_PG>();<function_GQ>(gender=1)<end>,1,gender=1
6ZHLSD,고정 공기 청정 가동 시작해줘 다음으로 지금 여성 목소리로 설정된 건가요,<function_PG>();<function_GQ>(get=True)<end>,1,get=True
7GBFBT,이제 다른 성별의 목소리로 듣고 싶어요.,<function_GQ>(gender=-1)<end>,0,gender=-1
7MALCR,목소리의 성별을 다르게 해주세요.,<function_GQ>(gender=-1)<end>,0,gender=-1
7OKUYC,고정 청정 온 그리고 음성을 여성으로 전환해줄래,<function_PG>();<function_GQ>(gender=1)<end>,1,gender=1
7OUSLR,주말에 뭐 할지 아직 정하지 못했어 그냥 집에 있을까 그 후에 나무 여자 보이스로 변경해줘,<function_MR>();<function_GQ>(gender=1)<end>,1,gender=1
7OYFVA,목소리 여성으로 바꿔줘,<function_GQ>(gender=1)<end>,0,gender=1
7PRRQL,목소리 설정 여성으로 변경해줘,<function_GQ>(gender=1)<end>,0,gender=1
7SWCYA,목소리 남성으로 설정해줘,<function_GQ>(gender=2)<end>,0,gender=2
8DORUE,음성을 남자로 전환해줄래 그 다음에 요즘 운동을 열심히 하고 있는데 몸이 조금 가벼워진 것 같아,<function_GQ>(gender=2);<function_MR>()<end>,0,gender=2
8NTICV,목소리 성별을 바꿔야겠어요.,<function_GQ>(gender=-1)<end>,0,gender=-1
8WAPZQ,고정 공기 청정 실행해줘 다음으로 현재 어떤 성별로 말하나요,<function_PG>();<function_GQ>(get=True)<end>,1,get=True
9FSWCC,여성 음성으로 지정해주실래요 그 후에 오늘 하루는 정말 바쁘게 보냈는데 아직도 해야 할 일이 많아,<function_GQ>(gender=1);<function_MR>()<end>,0,gender=1
9KDZYP,목소리 성별 설정 알려줘,<function_GQ>(get=True)<end>,0,get=True
9UXYOK,새로 나온 드라마가 재미있다고 해서 한번 봐야겠어 다음으로 현재 어떤 성별로 말하나요,<function_MR>();<function_GQ>(get=True)<end>,1,get=True
9YDHDS,오늘 저녁은 뭘 먹을지 고민 중이야 배는 고픈데 딱히 생각나는 게 없어 다음으로 지금 여성 목소리로 설정된 건가요,<function_MR>();<function_GQ>(get=True)<end>,1,get=True
