Index,Query,LLM Output,call_order,raw_args
0CAISP,풍량 강풍으로 바꿔줘,<function_NK>(speed=3)<end>,0,speed=3
0CBIBZ,풍량을 조금 줄여주세요,<function_NK>(speed=-1)<end>,0,speed=-1
0EDYNH,풍량을 낮춰주세요,<function_NK>(speed=-1)<end>,0,speed=-1
0GEHXS,내일 중요한 미팅 있어 이어서 바람 강도 자동으로 맞춰줘,<function_MR>();<function_NK>(speed=0)<end>,1,speed=0
0LCDVR,이 영화 예고편 봤어 다음으로 풍량을 터보로 바꿔줘,<function_MR>();<function_NK>(speed=4)<end>,1,speed=4
0NSZAC,팬 풍냥 터보 세기로 해줘 다음으로 오늘 뭔가 할 게 많아,<function_NK>(speed=4);<function_MR>()<end>,0,speed=4
0OYVXZ,풍속 중풍으로 조정해줘 그 후에 오늘 하루 어땠어,<function_NK>(speed=2);<function_MR>()<end>,0,speed=2
0PUZUR,약풍으로 바꿔줘,<function_NK>(speed=1)<end>,0,speed=1
0RLGFK,약한 바람으로 해줘,<function_NK>(speed=1)<end>,0,speed=1
1BGDQN,충전 위치로 되돌아가 그리고 풍속 터보로 조정해줘,<function_KI>();<function_NK>(speed=4)<end>,1,speed=4
1DJNAE,바람 약하게 해줘,<function_NK>(speed=1)<end>,0,speed=1
1EORDK,고정 공기 청정 가동 시작해줘 그리고 풍속 약풍으로 조정해줘,<function_PG>();<function_NK>(speed=1)<end>,1,speed=1
1LYUFG,청정 켜봐 다음으로 풍속 강풍으로 조정해줘,<function_PG>();<function_NK>(speed=3)<end>,1,speed=3
1NJOFW,커피 마실래 그러고 나서 풍속 몇으로 맞춰져 있는지 확인해줘,<function_MR>();<function_NK>(get=True)<end>,1,get=True
1ONLIZ,강풍으로 설정해줘,<function_NK>(speed=3)<end>,0,speed=3
1QARGM,팬 풍냥 강풍 세기로 해줘 그 다음에 오늘 일정 끝났어,<function_NK>(speed=3);<function_MR>()<end>,0,speed=3
1TLMKX,중풍으로 바꿔줘,<function_NK>(speed=2)<end>,0,speed=2
1UBCKN,스테이션 위치로 복귀하세요 그리고 풍속 자동으로 해줘,<function_KI>();<function_NK>(speed=0)<end>,1,speed=0
1WPPGX,스테이션 위치로 복귀하세요 그리고 바람 강도 터보로 맞춰줘,<function_KI>();<function_NK>(speed=4)<end>,1,speed=4
1XSHFS,자동 풍속으로 조정해줘 이어서 넌 주말에 보통 뭐 해,<function_NK>(speed=0);<function_MR>()<end>,0,speed=0
1ZHEZT,고정 공기 청정 가동 시작해줘 다음으로 풍속 터보로 조정해줘,<function_PG>();<function_NK>(speed=4)<end>,1,speed=4
2AUTKW,풍량 낮춰주실래요?,<function_NK>(speed=-1)<end>,0,speed=-1
2BHSWN,이제 그만 복귀해 그리고 강풍 바람 세기로 해줘,<function_KI>();<function_NK>(speed=3)<end>,1,speed=3
2DRJHC,충전하러 복귀 그리고 팬 풍냥 중풍 세기로 해줘,<function_KI>();<function_NK>(speed=2)<end>,1,speed=2
2IYONZ,운동 다녀왔어 그리고 풍량을 약풍으로 바꿔줘,<function_MR>();<function_NK>(speed=1)<end>,1,speed=1
2LQTMC,팬 풍량이 몇이야,<function_NK>(get=True)<end>,0,get=True
2MNIRU,고정 공청 기능 켜줘 팬 풍냥 강풍 세기로 해줘,<function_PG>();<function_NK>(speed=3)<end>,1,speed=3
2PHQNO,바람을 약하게 해주세요,<function_NK>(speed=-1)<end>,0,speed=-1
2RHDUT,고정 공기 청정 가동 시작해줘 다음으로 터보 바람 세기로 해줘,<function_PG>();<function_NK>(speed=4)<end>,1,speed=4
2WTFMP,고정 공기 청정 실행해줘 풍속 터보로 조정해줘,<function_PG>();<function_NK>(speed=4)<end>,1,speed=4
2XPJFJ,처음 위치로 돌아가주면 좋겠어 다음으로 풍속 설정된 값 확인해줄래,<function_KI>();<function_NK>(get=True)<end>,1,get=True
3CHOTR,강풍,<function_NK>(speed=3)<end>,0,speed=3
3CSRHY,풍량 터보로 바꿔줘,<function_NK>(speed=4)<end>,0,speed=4
3DQRGL,풍량 설정 상태를 알고 싶어요 그러고 나서 넌 아침형 인간이야,<function_NK>(get=True);<function_MR>()<end>,0,get=True
3FBXAM,고정 공기 청정 실행해줘 그리고 팬 풍량 뭐야,<function_PG>();<function_NK>(get=True)<end>,1,get=True
3FRQDD,팬 풍량 상태 알려줘,<function_NK>(get=True)<end>,0,get=True
3GZUME,중풍,<function_NK>(speed=2)<end>,0,speed=2
3LYMKH,책상 정리해야겠어 그리고 바람 강도 약풍으로 맞춰줘,<function_MR>();<function_NK>(speed=1)<end>,1,speed=1
3QJKVV,이번 주말에 뭐 하려고 그 후에 바람 강도 중풍으로 맞춰줘,<function_MR>();<function_NK>(speed=2)<end>,1,speed=2
3SECFU,높은 바람 속도로 바꿔주시겠어요,<function_NK>(speed=-1)<end>,0,speed=-1
3UIXJG,터보로 바꿔줘,<function_NK>(speed=4)<end>,0,speed=4
