Index,Query,LLM Output,call_order,raw_args
0INURX,테마를 실내 공기질로 설정해줘,<function_HG>(theme=2)<end>,0,theme=2
0JPVJP,대기화면이 기본 테마로 설정됐어,<function_HG>(get=True)<end>,0,get=True
0WAHMX,이번 주에는 운동을 조금 더 열심히 해야겠어 이어서 실내 공기질 테마로 화면 설정해줘,<function_MR>();<function_HG>(theme=2)<end>,1,theme=2
1MIQHL,고정 청정 온 이어서 대기화면이 실내 공기질 테마인가요,<function_PG>();<function_HG>(get=True)<end>,1,get=True
1UERHW,이번 주말에는 뭘 할까 새로운 계획을 세워봐야겠어 또 화면 기본으로 설정해줘,<function_MR>();<function_HG>(theme=0)<end>,1,theme=0
2GMHXV,테마를 상세 공기질로 변경해주실래요 이어서 새로 나온 영화가 기대 돼 이번 주말에 보러 갈까 생각 중이야,<function_HG>(theme=2);<function_MR>()<end>,0,theme=2
2WYXBZ,청정 켜봐 기본 테마로 대기화면 설정해주세요,<function_PG>();<function_HG>(theme=0)<end>,1,theme=0
2ZPKFZ,고정 공기 청정 실행해줘 테마를 상세 공기질로 변경해주실래요,<function_PG>();<function_HG>(theme=2)<end>,1,theme=2
3BHHHD,기본으로 설정해줄래,<function_HG>(theme=0)<end>,0,theme=0
4EAGRR,오늘 하루종일 집에 있었더니 기분이 좀 울적해졌어 그리고 대기화면 테마 설정이 뭐로 되어있나요,<function_MR>();<function_HG>(get=True)<end>,1,get=True
4FLLPN,새로운 음악을 찾아 듣는 게 요즘 내 소소한 즐거움이야 그리고 대기화면이 실내 공기질 테마인가요,<function_MR>();<function_HG>(get=True)<end>,1,get=True
4HPOXO,대기화면 테마를 변경해줘,<function_HG>(get=True)<end>,0,get=True
4LQHLW,오늘 하루가 정말 길었어 이제 좀 쉬고 싶어 이어서 대기화면을 실내 공기질 테마로 설정해주세요,<function_MR>();<function_HG>(theme=2)<end>,1,theme=2
4NDIUG,대기화면을 실내 공기질로 해줘,<function_HG>(theme=2)<end>,0,theme=2
4ULKEV,현재 기본 테마로 설정되어 있는지 확인해줄 수 있어 그리고 오늘은 일찍 자야겠어 내일 아침에 일찍 일어나야 하거든,<function_HG>(get=True);<function_MR>()<end>,0,get=True
4YFSZB,고정 공기 청정 가동 시작해줘 그러고 나서 지금 상세 공기질 테마 사용 중이야,<function_PG>();<function_HG>(get=True)<end>,1,get=True
5IIMHN,대기화면을 기본 테마로 전환해주실래요 또 다음 달에 중요한 발표가 있어서 준비를 열심히 하고 있어,<function_HG>(theme=0);<function_MR>()<end>,0,theme=0
5SWKQA,대기화면 바꿔볼래요,<function_HG>(theme=-1)<end>,0,theme=-1
5XIFEI,화면을 기본 테마로 전환해주세요,<function_HG>(theme=0)<end>,0,theme=0
5YCRGJ,대기화면 바꿔주면 좋겠어,<function_HG>(theme=-1)<end>,0,theme=-1
6AMSYQ,고정 공청 기능 켜줘 그 후에 테마를 상세 공기질로 변경해주실래요,<function_PG>();<function_HG>(theme=2)<end>,1,theme=2
6BAHRX,화면을 실내 공기질 테마로 설정해줘,<function_HG>(theme=2)<end>,0,theme=2
6CRYDT,실내 공기질 테마로 대기화면 바꿔줘,<function_HG>(theme=2)<end>,0,theme=2
6CSLTL,화면을 기본으로 설정해,<function_HG>(theme=0)<end>,0,theme=0
6SMZSL,대기화면 바꿔줄래,<function_HG>(theme=-1)<end>,0,theme=-1
7AKFFQ,지금 기본 테마로 되어있는지 알려줘,<function_HG>(get=True)<end>,0,get=True
7AVGJC,오늘 하루는 정말 고단했어 이젠 푹 쉬고 싶어 또 기본 테마로 대기화면 설정해주세요,<function_MR>();<function_HG>(theme=0)<end>,1,theme=0
7EJTNE,테마 기본으로 변경해주세요,<function_HG>(theme=0)<end>,0,theme=0
7RWSNZ,대기화면을 상세 공기질로 전환해줘 이어서 오늘 저녁에 뭐 먹을지 고민 중이야 뭐가 좋을까,<function_HG>(theme=2);<function_MR>()<end>,0,theme=2
7VHMQC,고정 공기 청정 가동 시작해줘 그 다음에 어떤 테마를 사용하고 있는지 알려주실래요,<function_PG>();<function_HG>(get=True)<end>,1,get=True
7XVFVY,테마를 실내 공기질로 해줄래,<function_HG>(theme=2)<end>,0,theme=2
7ZQMTB,대기화면 바꿔줄게요,<function_HG>(theme=-1)<end>,0,theme=-1
8ACRAV,테마를 기본으로 변경해줄래 또 내일은 친구들이랑 만날 예정인데 뭐 하고 놀지 고민 중이야,<function_HG>(theme=0);<function_MR>()<end>,0,theme=0
8TKJFA,고정 공청 기능 켜줘 또 대기화면을 기본 테마로 전환해주실래요,<function_PG>();<function_HG>(theme=0)<end>,1,theme=0
8TVTGZ,기본 테마로 되어있나요,<function_HG>(get=True)<end>,0,get=True
9IQPXM,고정 공기 청정 가동 시작해줘 그러고 나서 실내 공기질 테마로 화면 설정해줘,<function_PG>();<function_HG>(theme=2)<end>,1,theme=2
