Index,Query,LLM Output,call_order,raw_args
1YWLXO,스크린에서 필터 상태 보여주세요.,<function_UJ>()<end>,0,
2CADJZ,오늘 하루는 정말 길었어 이제 쉬고 싶다 그 다음에 필터 상태 알려주세요,<function_MR>();<function_UJ>()<end>,1,
2PMAEQ,그동안 필터를 얼마나 소진했어?,<function_UJ>()<end>,0,
3IXHOF,필터 상태를 스크린에 보여주세요.,<function_UJ>()<end>,0,
4HRDVS,유튜버나 인플루언서 중에 꾸준히 보는 사람 있어 그 다음에 현재 필터 사용량을 보여줄 수 있어,<function_MR>();<function_UJ>()<end>,1,
5ZXHNU,청정 켜봐 그 다음에 현재 필터 사용량을 보여줄 수 있어,<function_PG>();<function_UJ>()<end>,1,
6TPGXL,스크린에 필터 상태 보여줄래?,<function_UJ>()<end>,0,
7RFIRE,에이원 필터 잔여량이 얼마나 남았는지 확인해주세요 그 다음에 친구가 보내준 선물이 정말 마음에 들어 오랜만에 웃었어,<function_UJ>();<function_MR>()<end>,0,
7YOAZB,지금 필터의 수명이 어떻게 되나요 그 다음에 새로운 취미를 찾고 싶은데 뭐가 좋을지 모르겠어,<function_UJ>();<function_MR>()<end>,0,
9FJLYJ,스크린에 필터 상태 표시해주세요.,<function_UJ>()<end>,0,
