Index,Query,LLM Output,call_order,raw_args
0AUYXL,고정 청정 온 다음으로 센서 감도를 민감으로 바꿔줄래,<function_PG>();<function_QD>(type=2)<end>,1,type=2
0BNEWO,감지 감도 보통으로 맞출래,<function_QD>(type=1)<end>,0,type=1
0KGFNC,고정 공기 청정 가동 시작해줘 그러고 나서 센서 민감도 상태 알려주세요,<function_PG>();<function_QD>(get=True)<end>,1,get=True
0NZBLE,고정 공청 기능 켜줘 감지 민감도를 낮게 조정할 수 있어,<function_PG>();<function_QD>(type=0)<end>,1,type=0
0PZUGL,센서 민감도를 낮춰주세요,<function_QD>(get=True)<end>,0,get=True
0QCTAD,감지 감도 레벨을 바꿔줄래요,<function_QD>(type=-1)<end>,0,type=-1
1NHXXY,센서 민감도 낮음으로 되어있니,<function_QD>(get=True)<end>,0,get=True
2CSIMI,새로 산 옷이 너무 마음에 들어 매일 입고 다니고 있어 또 감지 감도를 낮게 설정해줘,<function_MR>();<function_QD>(type=0)<end>,1,type=0
2EGZUB,고정 공기 청정 실행해줘 그 다음에 감지 감도를 낮게 설정해줘,<function_PG>();<function_QD>(type=0)<end>,1,type=0
2XLOMA,센서 민감도 낮음 단계에요,<function_QD>(get=True)<end>,0,get=True
3NRHOI,고정 청정 온 이어서 감지 감도를 보통으로 설정해줘,<function_PG>();<function_QD>(type=1)<end>,1,type=1
3OLDXH,감지 감도 단계를 설정해줄래요,<function_QD>(type=-1)<end>,0,type=-1
3RDBLL,이번 주말에는 오랜만에 친구들이랑 만나서 저녁 먹기로 했어 이어서 감지 감도를 보통으로 설정해줘,<function_MR>();<function_QD>(type=1)<end>,1,type=1
4NWRLV,감지 감도 높게 설정해죠요,<function_QD>(type=2)<end>,0,type=2
4PCILO,감지 감도 낮게 조절해줘,<function_QD>(type=0)<end>,0,type=0
4RRTAD,고정 공청 기능 켜줘 또 센서 민감도가 높음으로 설정되어 있나요,<function_PG>();<function_QD>(get=True)<end>,1,get=True
4WYQVO,센서 민감도 레벨이 무엇인지 알려줄래요 그 후에 이번 주말에는 뭐 하고 놀까 새로운 카페나 가볼까,<function_QD>(get=True);<function_MR>()<end>,0,get=True
5HAMCW,고정 공청 기능 켜줘 이어서 센서 민감도가 높음으로 설정되어 있나요,<function_PG>();<function_QD>(get=True)<end>,1,get=True
5HKGCW,감지 감도 낮게 조정하면 되겠네,<function_QD>(type=0)<end>,0,type=0
5SXHZY,감지 감도 보통으로 변경하고 싶어,<function_QD>(type=1)<end>,0,type=1
5YVPAO,감지 감도 높게 변경해주시면 좋겠어요,<function_QD>(type=2)<end>,0,type=2
5ZAFJX,감지 감도 높음으로 변경할게,<function_QD>(type=2)<end>,0,type=2
6AHIAL,만약 한 명의 유명인과 저녁을 먹을 수 있다면 누구를 선택할 거야 그 후에 센서 민감도 상태 알려주세요,<function_MR>();<function_QD>(get=True)<end>,1,get=True
6EWJLU,감지 감도 보통으로 변경해주시면 좋겠어요,<function_QD>(type=1)<end>,0,type=1
6FIXHB,감지 감도 낮게 변경해줄래요,<function_QD>(type=0)<end>,0,type=0
6FVSQW,고정 공청 기능 켜줘 그 다음에 감지 민감도를 높음으로 조정해줄 수 있어,<function_PG>();<function_QD>(type=2)<end>,1,type=2
6QVYXX,감지 감도 레벨을 맞춰주실래요,<function_QD>(type=-1)<end>,0,type=-1
6SMLQF,고정 공기 청정 실행해줘 이어서 감지 감도를 높게 설정해줘,<function_PG>();<function_QD>(type=2)<end>,1,type=2
6XVPOS,감지 감도 강도를 조절할래,<function_QD>(type=-1)<end>,0,type=-1
7EVTTA,감지 감도를 보통으로 조절해주실래요 이어서 키아누 리브스가 기부를 많이 하는 거 알고 있었어,<function_QD>(type=1);<function_MR>()<end>,0,type=1
7NRZEG,센서 민감도 낮음 맞지,<function_QD>(get=True)<end>,0,get=True
7RKMWE,감지 감도 레벨을 맞춰줘,<function_QD>(type=-1)<end>,0,type=-1
7WKFTA,센서 민감도 값을 한번 봐줄래,<function_QD>(get=True)<end>,0,get=True
7XPFYX,감지 감도 높음으로 바꿔주면 좋겠어요,<function_QD>(type=2)<end>,0,type=2
8LEPNJ,감지 민감도를 낮게 조정할 수 있어 또 요즘 들어 운동을 자주 하니까 몸이 조금 가벼워진 것 같아,<function_QD>(type=0);<function_MR>()<end>,0,type=0
8NHFMN,감지 민감도를 보통으로 조정할 수 있어 이어서 내일 아침에 일찍 일어나서 운동해야지,<function_QD>(type=1);<function_MR>()<end>,0,type=1
8TJFTO,현재 센서 민감도 설정을 확인하고 싶어요 그 후에 이번에 새로 나온 스마트폰이 정말 좋다는데 고민이야,<function_QD>(get=True);<function_MR>()<end>,0,get=True
8WCXPB,센서 민감도 값을 확인하고 싶은데요,<function_QD>(get=True)<end>,0,get=True
9DQSTX,감지 민감도를 높음으로 조정해줄 수 있어 그리고 이번 주말에는 그냥 집에서 쉬면서 책이나 읽으려고 해,<function_QD>(type=2);<function_MR>()<end>,0,type=2
9XTFEK,다음 달에 있을 모임을 준비하려고 하는데 뭘 준비해야 할지 고민이야 이어서 센서 감도 보통으로 해줘,<function_MR>();<function_QD>(type=1)<end>,1,type=1
9YALMT,새로 산 이어폰이 너무 좋아서 음악 듣는 게 더 즐거워졌어 그리고 센서 민감도를 민감으로 설정해야 해요,<function_MR>();<function_QD>(type=2)<end>,1,type=2
