Index,Query,LLM Output,call_order,raw_args
1JWARW,라이다 센서 관리하는 법이 궁금해,<function_PC>(type=5)<end>,0,type=5
1XMSNU,센서창 청소 방법을 설명해줘,<function_PC>(type=4)<end>,0,type=4
2FWFZE,제품 외관 청소하는 법 알려죠,<function_PC>(type=8)<end>,0,type=8
2RPXIF,필터 교체 주기 좀 알려죠,<function_PC>(type=1)<end>,0,type=1
2SBVZA,A1 필터 관리 어떻게 해,<function_PC>(type=3)<end>,0,type=3
2UGJUB,제품 외관 관리하는 법이 궁금해,<function_PC>(type=8)<end>,0,type=8
2VTJUL,장애물 감지 센서가 더러워졌는데 어떻게 해야 해,<function_PC>(type=6)<end>,0,type=6
3MZVZF,센서창 관리하는 법이 궁금해,<function_PC>(type=4)<end>,0,type=4
3ZBDRF,필터 교체는 얼마마다 하면 돼,<function_PC>(type=1)<end>,0,type=1
4KBWCA,전원 꽂는 곳 어떻게 닦으면 돼?,<function_PC>(type=7)<end>,0,type=7
4PPFLE,전원 꽂는 곳 세척 시 뭘 알아야 해?,<function_PC>(type=7)<end>,0,type=7
4RLNKA,어떻게 충전 포트를 세척할 수 있어?,<function_PC>(type=7)<end>,0,type=7
5BSWTA,제품 외관이 더러운데 청소 좀 해야겠어,<function_PC>(type=8)<end>,0,type=8
5MCWBC,장애물 감지 센서 청소하는 방법 알려줘,<function_PC>(type=6)<end>,0,type=6
6EJRSM,센서창 청소하는 방법 알려줘,<function_PC>(type=4)<end>,0,type=4
6IGOLK,장애물 감지 센서 청소 방법을 설명해줘,<function_PC>(type=6)<end>,0,type=6
6KMBBZ,A1 필터 관리하려면 어떻게 해야 돼,<function_PC>(type=3)<end>,0,type=3
6QQCVW,청소할 때 센서를 어떻게 해야 해?,<function_PC>(type=1)<end>,0,type=1
6SUTUT,센서창 어떻게 닦으면 돼,<function_PC>(type=4)<end>,0,type=4
6TZGJU,필터 교체 주기가 어떻게 될까,<function_PC>(type=1)<end>,0,type=1
7CEXXX,제품 외관 어떻게 닦으면 돼,<function_PC>(type=8)<end>,0,type=8
7NAHGR,A1 필터 분리해서 닦아야 해,<function_PC>(type=3)<end>,0,type=3
7YNYRD,센서창 청소해야 하는데 방법 좀 알려줄래,<function_PC>(type=4)<end>,0,type=4
8DBFEL,A1 필터 청소 방법 알려줘,<function_PC>(type=3)<end>,0,type=3
8ELGZT,라이다 센서 청소 방법 알려죠,<function_PC>(type=5)<end>,0,type=5
8NCVFW,전원 꽂는 곳 청소는 어떻게 하면 돼?,<function_PC>(type=7)<end>,0,type=7
8RMXVH,센서 부분은 어떻게 세척해야 하나요?,<function_PC>(type=4)<end>,0,type=4
9PFPZX,A1 필터 세척할 때 주의할 거 있어,<function_PC>(type=3)<end>,0,type=3
9ZGJDJ,필터 교체 주기가 어떻게 돼,<function_PC>(type=1)<end>,0,type=1
