Index,Query,LLM Output,call_order,raw_args
0JANXX,기기 언어 한국어로 바꿔줘,<function_HS>(type=1)<end>,0,type=1
0KFVMG,언어 바꿔줘,<function_HS>(type=-1)<end> ,0,type=-1
0NJEOM,영어로 기기 언어 설정해줘,<function_HS>(type=2)<end>,0,type=2
0OZVPY,영어로 설정해 그러고 나서 새 앨범 들어봤어,<function_HS>(type=2);<function_MR>()<end>,0,type=2
0QIDJD,한국어로 기기 언어 설정해줘,<function_HS>(type=1)<end>,0,type=1
0QLMYP,드럼 배우고 싶은데 어디서 시작하지 그러고 나서 기기 언어 영어로 바꿔줄래,<function_MR>();<function_HS>(type=2)<end>,1,type=2
0RPXRW,청정 켜봐 그리고 기기 언어 영어로 바꿔줄래,<function_PG>();<function_HS>(type=2)<end>,1,type=2
1ELKKX,영어로 기기 언어 바꿔줘,<function_HS>(type=2)<end>,0,type=2
1IFIXM,처음 위치로 돌아가주면 좋겠어 그 다음에 기기 언어 설정 한국어로 바꿔줘,<function_KI>();<function_HS>(type=1)<end>,1,type=1
1IOTVP,처음 위치로 돌아가주면 좋겠어 그 다음에 언어 영어로 맞춰,<function_KI>();<function_HS>(type=2)<end>,1,type=2
1QQMEI,충전하러 복귀 다음으로 한글로 언어 설정 바꿔줘,<function_KI>();<function_HS>(type=1)<end>,1,type=1
2SRRDG,언어 바꿀래,<function_HS>(type=-1)<end> ,0,type=-1
3DZMHA,다른 나라 말로 바꿔줘,<function_HS>(type=-1)<end> ,0,type=-1
3FBGZZ,기기 언어 설정 영어로 해줘,<function_HS>(type=2)<end>,0,type=2
3IXDIG,고정 공기 청정 가동 시작해줘 그리고 언어를 미국말로 바꿔줘,<function_PG>();<function_HS>(type=2)<end>,1,type=2
4CGIUT,영어로 언어 설정해줘 그러고 나서 이 가수 노래 엄청 좋더라,<function_HS>(type=2);<function_MR>()<end>,0,type=2
4DIWAI,충전 위치로 되돌아가 그 다음에 기기 언어 영어로 바꿔줄래,<function_KI>();<function_HS>(type=2)<end>,1,type=2
4OUBFR,한국말로 바꿔 다음으로 이 영화 결말 예상했어,<function_HS>(type=1);<function_MR>()<end>,0,type=1
5ETWHJ,기기 언어를 변경할 수 있을까,<function_HS>(type=-1)<end>,0,type=-1
5KEPPA,기기 언어 바꾸고 싶어요,<function_HS>(type=-1)<end>,0,type=-1
5MLSMO,고정 청정 온 그 다음에 기기 언어 영어로 바꿔줄래,<function_PG>();<function_HS>(type=2)<end>,1,type=2
5MPGYB,기기 언어를 변경해줘,<function_HS>(type=-1)<end>,0,type=-1
5SMBKH,충전 위치로 되돌아가 기기 언어 설정 한국어로 바꿔줘,<function_KI>();<function_HS>(type=1)<end>,1,type=1
6DEZJI,기기 언어 설정 하고 싶어,<function_HS>(type=-1)<end>,0,type=-1
6MIMUS,기기 언어 설정 한국어로 해줘,<function_HS>(type=1)<end>,0,type=1
8LMUEV,언어설정 한국어로 해줘,<function_HS>(type=1)<end>,0,type=1
9JKXZO,기기 언어 영어로 바꿔줘,<function_HS>(type=2)<end>,0,type=2
9KUUPL,다른 언어로 바꿔죠,<function_HS>(type=-1)<end> ,0,type=-1
9RGEVE,말을 바꿀래,<function_HS>(type=-1)<end> ,0,type=-1
9UPCHD,한글로 언어 설정 바꿔줘 다음으로 이번 주말에 콘서트 가볼까,<function_HS>(type=1);<function_MR>()<end>,0,type=1
9UPVMK,고정 공청 기능 켜줘 기기 언어 설정 한국어로 바꿔줘,<function_PG>();<function_HS>(type=1)<end>,1,type=1
