Index,Query,LLM Output,call_order,raw_args
0BCWRH,온도 단위 화씨로 바꿔줄래,<function_EW>(type=1)<end>,0,type=1
0GSFUQ,섭씨 단위가 편해요,<function_EW>(type=0)<end>,0,type=0
0LJMYM,사용되는 온도 표시를 말씀해주세요,<function_EW>(get=True)<end>,0,get=True
0PTHFO,현재 온도 표시는 화씨입니까 그리고 주말에 뭘 할지 아직 못 정했는데 그냥 영화나 볼까 생각 중이야,<function_EW>(get=True);<function_MR>()<end>,0,get=True
1OKVNM,온도 단위를 화씨로 변경해주세요,<function_EW>(type=1)<end>,0,type=1
2QKKAU,온도를 섭씨로 변경할 수 있어 다음으로 새로 나온 책을 읽고 있는데 너무 흥미진진해서 시간 가는 줄 몰라,<function_EW>(type=0);<function_MR>()<end>,0,type=0
2VYPCI,고정 청정 온 그 후에 온도를 섭씨로 변경할 수 있어,<function_PG>();<function_EW>(type=0)<end>,1,type=0
3BLOXF,온도를 화씨로 변경할 수 있어 그러고 나서 저녁으로 뭐 먹을까 치킨 아니면 피자,<function_EW>(type=1);<function_MR>()<end>,0,type=1
3CGBYT,온도 단위를 화씨로 바꿔줘요,<function_EW>(type=1)<end>,0,type=1
3GLTAT,온도 단위 설정을 바꿔줘,<function_EW>(get=True)<end>,0,get=True
3NFQKL,섭씨 단위로 바꾸면 좋겠어,<function_EW>(type=0)<end>,0,type=0
3PZWNR,온도 단위를 섭씨로 바꿔줄래요 다음으로 내일 아침에 뭐 먹지 고민되네 오랜만에 브런치를 먹을까,<function_EW>(type=0);<function_MR>()<end>,0,type=0
3THQVH,기기에 설정된 온도 단위 알려주세요,<function_EW>(get=True)<end>,0,get=True
3VIBND,온도 단위 바꾸고 싶어,<function_EW>(type=-1)<end>,0,type=-1
4DKGQB,고정 공청 기능 켜줘 그 후에 현재 사용 중인 온도 표시가 어떤 건지 말해줘,<function_PG>();<function_EW>(get=True)<end>,1,get=True
4RDUNP,다음 달에 있을 모임 준비를 미리 해둬야겠어 그러고 나서 화씨 단위로 바꿔주세요,<function_MR>();<function_EW>(type=1)<end>,1,type=1
4XBDFB,온도 단위 바꾸고 싶어요,<function_EW>(type=-1)<end>,0,type=-1
5CMOLG,이번에 새로 나온 카메라가 정말 좋아 보이는데 살까 말까 고민 중이야 그리고 온도 단위 섭씨인지 알려주세요,<function_MR>();<function_EW>(get=True)<end>,1,get=True
5FWXAR,사용 중인 온도 표기 체계 알려주세요,<function_EW>(get=True)<end>,0,get=True
5HGCOH,지금 설정된 온도 표기를 확인하고 싶어요 그리고 요즘 들어 일찍 자고 일찍 일어나니까 기분이 상쾌해,<function_EW>(get=True);<function_MR>()<end>,0,get=True
5PWDHP,고정 청정 온 그리고 온도 단위를 화씨로 바꿔줄래요,<function_PG>();<function_EW>(type=1)<end>,1,type=1
5XYZXD,기본 설정된 온도 단위 알려줘,<function_EW>(get=True)<end>,0,get=True
6SPGJJ,온도 단위를 화씨로 바꿔줄래요 그러고 나서 새로 산 운동화가 너무 편해서 자꾸 신고 나가고 싶어,<function_EW>(type=1);<function_MR>()<end>,0,type=1
6XVODJ,고정 공기 청정 가동 시작해줘 그 다음에 현재 온도 표시는 화씨입니까,<function_PG>();<function_EW>(get=True)<end>,1,get=True
8FJJSF,온도 단위 바꾸는 것이 좋겠습니다,<function_EW>(type=-1)<end>,0,type=-1
8FRUMJ,사용 중인 온도 표시 말씀해주세요,<function_EW>(get=True)<end>,0,get=True
8PWNAE,섭씨 단위로 바꾸고 싶어요,<function_EW>(type=0)<end>,0,type=0
8QYFBB,청정 켜봐 온도 표시를 섭씨로 설정해주세요,<function_PG>();<function_EW>(type=0)<end>,1,type=0
8WWVBE,온도 단위 바꾸고 싶은데,<function_EW>(type=-1)<end>,0,type=-1
8XTYPH,온도 단위를 화씨로 바꿔주세요,<function_EW>(type=1)<end>,0,type=1
8YHLUX,오늘 점심에 뭐 먹지 고민 중이야 뭘 먹을까 그리고 온도 단위 알려주세요,<function_MR>();<function_EW>(get=True)<end>,1,get=True
9IWFZZ,청정 켜봐 화씨 단위로 바꿔주세요,<function_PG>();<function_EW>(type=1)<end>,1,type=1
