Index,Query,LLM Output,call_order,raw_args
0DRMGA,아지트 청정 모드 가동해봐,"<function_FF>(position=""아지트"")<end>",0,"position=""아지트"""
0DVGFP,설계실에서 청정해보실래요,"<function_FF>(position=""설계실"")<end>",0,"position=""설계실"""
0ELHUG,선택한 구역 청정 시작해볼게,<function_FF>(position=-1)<end> ,0,position=-1
0HATUG,그림방에서 공기청정 해보면 좋겠어,"<function_FF>(position=""그림방"")<end>",0,"position=""그림방"""
0JVNSL,동호회방 청정 작동시켜줄래,"<function_FF>(position=""동호회방"")<end>",0,"position=""동호회방"""
0KONIM,출입구측에서 공기청정해줄 수 있어요,"<function_FF>(position=""출입구측"")<end>",0,"position=""출입구측"""
0KZCSN,반오픈형에서 공기청정 시작해줄 수 있어,"<function_FF>(position=""반오픈형"")<end>",0,"position=""반오픈형"""
0LBKEA,준영이방에서 공기청정 해주실래요,"<function_FF>(position=""준영이방"")<end>",0,"position=""준영이방"""
0MIHVD,201호실 공기청정 시스템 작동해줄래,"<function_FF>(position=""201호실"")<end>",0,"position=""201호실"""
0OCRRK,101호실 청정해주실래요,"<function_FF>(position=""101호실"")<end>",0,"position=""101호실"""
0OJVSL,홀C에서 청정 기능 가동해줄 수 있나요,"<function_FF>(position=""홀C"")<end>",0,"position=""홀C"""
0ONSAA,미팅석 청정 해봐,"<function_FF>(position=""미팅석"")<end>",0,"position=""미팅석"""
0QOADF,큰방 청정해줄래,"<function_FF>(position=""큰방"")<end>",0,"position=""큰방"""
0THOKH,단계별실에서 공기청정해주시면 좋겠어요,"<function_FF>(position=""단계별실"")<end>",0,"position=""단계별실"""
0YDGGZ,이 영화 어때 그리고 유아부실으로 가서 청정해 줘,<function_MR>();<function_FF>(position=유아부실)<end>,1,position=유아부실
1AOORB,강의실102 청정 시작해,"<function_FF>(position=""강의실102"")<end>",0,"position=""강의실102"""
1BYQLM,품질관리실에서 청정해줄 수 있니,"<function_FF>(position=""품질관리실"")<end>",0,"position=""품질관리실"""
1BZZWR,305호에서 청정 실행 시작해줘,"<function_FF>(position=""305호"")<end>",0,"position=""305호"""
1EHMXS,103호에서 청정 바로해주시면 감사해요,"<function_FF>(position=""103호"")<end>",0,"position=""103호"""
1ETSFZ,지금 있는 공간의 공기를 청소해줘,<function_FF>(position=-1)<end>,0,position=-1
1JHVSE,하이테이블 청정해줄 수 있을까,"<function_FF>(position=""하이테이블"")<end>",0,"position=""하이테이블"""
1JLYPT,고급반실 청정 기능 작동해줄래요,"<function_FF>(position=""고급반실"")<end>",0,"position=""고급반실"""
1NVDIX,중급반 공기청정 활성화 시작해,"<function_FF>(position=""중급반"")<end>",0,"position=""중급반"""
