Index,Query,LLM Output,call_order,raw_args
0EKYLI,이 음악 들어봤어 그 후에 전체 공간 청정 해줘,<function_MR>();<function_EF>(action=1)<end>,1,action=1
0MCXQC,충전하러 복귀 그 다음에 전체 공간 청정 해줘,<function_KI>();<function_EF>(action=1)<end>,1,action=1
2WPVOJ,전체 공간 공기청정 해줘,<function_EF>(action=1)<end>,0,action=1
3IJASD,이제 그만 복귀해 또 전체 이동 공기청정 할래,<function_KI>();<function_EF>(action=1)<end>,1,action=1
4BJSHW,전체 공간 청정해줘,<function_EF>(action=1)<end>,0,action=1
5JWXNZ,고정 공청 기능 켜줘 전체 구역 청정 부탁할게,<function_PG>();<function_EF>(action=1)<end>,1,action=1
6NMNXN,고정 공기 청정 가동 시작해줘 그리고 전체 공간 청정 해줘,<function_PG>();<function_EF>(action=1)<end>,1,action=1
7ENKPT,전체 공간 공기 청정 시작해,<function_EF>(action=1)<end>,0,action=1
7OGBXG,넌 무슨 음식을 좋아해 그 후에 전체 구역 청정 부탁할게,<function_MR>();<function_EF>(action=1)<end>,1,action=1
7XIUHG,모든 방 청소 시작해줘,<function_EF>(action=1)<end>,0,action=1
7XKVVX,처음 위치로 돌아가주면 좋겠어 이어서 전체 이동 공기청정 할래,<function_KI>();<function_EF>(action=1)<end>,1,action=1
9TGLDY,전체 공간 청정 시작해,<function_EF>(action=1)<end>,0,action=1
