Index,Query,LLM Output,call_order,raw_args
0MFXSK,공기청정기의 구성을 설명해줄래.,<function_SB>(type=4)<end>,0,type=4
0MGPDE,어떤 필터를 사용해,<function_SB>(type=2)<end>,0,type=2
0ZLZRE,어떤 필터를 사야해,<function_SB>(type=2)<end>,0,type=2
1VJDSL,내 개인정보는 안전하게 보관되는 거지,<function_SB>(type=5)<end>,0,type=5
2BGZNQ,공기청정기 최대 소음 수준을 알고 싶어.,<function_SB>(type=3)<end>,0,type=3
2GTCZA,공청기의 최대 소음을 알려줘.,<function_SB>(type=3)<end>,0,type=3
2KDOAE,최대 소음은 어느 정도야?,<function_SB>(type=3)<end>,0,type=3
3AJSPY,내 기기에 대한 정보를 알고 싶어,<function_SB>(type=5)<end>,0,type=5
3RLDST,공기청정기의 구성 요소를 나열해줄 수 있어?,<function_SB>(type=4)<end>,0,type=4
3UGUER,내 개인정보는 안전한 거야,<function_SB>(type=5)<end>,0,type=5
4BRBTM,무슨 필터가 필요한지 알려줘,<function_SB>(type=2)<end>,0,type=2
4UNUHN,공기청정기 구조를 간단히 설명해줄래?,<function_SB>(type=4)<end>,0,type=4
5FWUOP,개인정보 보안은 되어있는 거야,<function_SB>(type=5)<end>,0,type=5
5HCORR,개인정보 보호 체계는 있는 거야,<function_SB>(type=5)<end>,0,type=5
6AHOUE,공기청정기의 구성 요소들을 설명해줄 수 있어?,<function_SB>(type=4)<end>,0,type=4
6KEVWR,강력 설정에서의 소음 수준이 어떻게 돼?,<function_SB>(type=3)<end>,0,type=3
7ELTZO,인증 정보를 알려줘,<function_SB>(type=1)<end>,0,type=1
8ABKGG,어떤 인증을 받았어,<function_SB>(type=1)<end>,0,type=1
8KJHAY,너가 받은 인증은 전부 뭐야,<function_SB>(type=1)<end>,0,type=1
9GXGGW,개인정보 보호는 되는 거야,<function_SB>(type=5)<end>,0,type=5
9ZKSBR,공청기 최대 소음 데시벨을 알고 싶어.,<function_SB>(type=3)<end>,0,type=3
