Index,Query,LLM Output,call_order,raw_args
1MLNRY,공기송전기는 실행하고 있을까요?,<function_ID>(get=True)<end>,0,get=True
1PKXUZ,공기청정 모드 실행 중이신가요?,<function_ID>(get=True)<end>,0,get=True
2PWBLM,고정 공청 기능 켜줘 다음으로 공기청정 작동 중인가요,<function_PG>();<function_ID>(get=True)<end>,1,get=True
2SHHTD,어디로 가는 중인지 말해주실래요 그리고 이번 주말에는 집에서 푹 쉬면서 시간을 보내려고 해,<function_ID>(get=True);<function_MR>()<end>,0,get=True
3WQMTA,공기청정 기능 작동하고 있나요?,<function_ID>(get=True)<end>,0,get=True
5JUZTP,공기청정 모드 실행하고 있니?,<function_ID>(get=True)<end>,0,get=True
7VMRTG,고정 공기 청정 실행해줘 이어서 지금 어디서 청정하고 있는지 알려줄 수 있어,<function_PG>();<function_ID>(get=True)<end>,1,get=True
7VYJSW,현재 뭐하고 있나요 그리고 내일 아침에는 일찍 일어나서 운동을 할 계획이야,<function_ID>(get=True);<function_MR>()<end>,0,get=True
8KQLAH,이번 주말에는 오랜만에 친구들과 만나서 저녁을 먹기로 했어 그리고 지금 충전 중인지 확인해줘,<function_MR>();<function_ID>(get=True)<end>,1,get=True
9ENLFP,현재 공기청정기가 작동 중인지 알려줘.,<function_ID>(get=True)<end>,0,get=True
