Index,Query,LLM Output,call_order,raw_args
0CVLAX,스캐닝 공기청정 종료,<function_IH>(scan=False)<end>,0,scan=False
0UIKER,스캐닝 청정중이야,<function_IH>(get=True)<end>,0,get=True
0ZNCHM,스캐닝 청정 하고있어,<function_IH>(get=True)<end>,0,get=True
1IIJEQ,고정 청정 온 이어서 스캐닝 청정 시작하세요,<function_PG>();<function_IH>(scan=True)<end>,1,scan=True
1QOBDO,스캐닝 청정 시작하세요 그리고 이 식당 가볼까,<function_IH>(scan=True);<function_MR>()<end>,0,scan=True
1THYAR,이제 그만 복귀해 다음으로 스캐닝 청정 상태 좀 알려줘,<function_KI>();<function_IH>(get=True)<end>,1,get=True
2LXTGV,요즘 재미있는 책 있어 또 스캐닝 공기청정 꺼라,<function_MR>();<function_IH>(scan=False)<end>,1,scan=False
2QHGML,스캐닝 기능 비활성화 해줘 또 주말엔 보통 뭐해,<function_IH>(scan=False);<function_MR>()<end>,0,scan=False
2YESPG,스캐닝 청정 켜져있어,<function_IH>(get=True)<end>,0,get=True
3PKXOY,스캐닝 청정 지금 꺼져 있나요 이어서 이번 주말에 계획 있어,<function_IH>(get=True);<function_MR>()<end>,0,get=True
3YTSZD,고정 공기 청정 실행해줘 그러고 나서 스캐닝 청정 상태 좀 알려줘,<function_PG>();<function_IH>(get=True)<end>,1,get=True
4AAWUB,고정 공청 기능 켜줘 다음으로 스캐닝 청정 시작하세요,<function_PG>();<function_IH>(scan=True)<end>,1,scan=True
4DHDUV,스캐닝 공기청정 꺼줘,<function_IH>(scan=False)<end>,0,scan=False
4HVZXF,충전 위치로 되돌아가 그러고 나서 스캐닝 공기청정 상태가 어떤가요,<function_KI>();<function_IH>(get=True)<end>,1,get=True
4ZXOXW,처음 위치로 돌아가주면 좋겠어 그리고 스캐닝 기능 시작해주세요,<function_KI>();<function_IH>(scan=True)<end>,1,scan=True
5VJATY,고정 공기 청정 실행해줘 다음으로 스캐닝 공청 기능 중지해줘,<function_PG>();<function_IH>(scan=False)<end>,1,scan=False
5XQSBM,스캐닝 공기청정 시작해줘,<function_IH>(scan=True)<end>,0,scan=True
6AAVGN,스캐닝 청정 상태 알려줘,<function_IH>(get=True)<end>,0,get=True
6EXMVB,스캐닝 청정 켜줘,<function_IH>(scan=True)<end>,0,scan=True
6MHGNJ,스테이션 위치로 복귀하세요 그 다음에 스캐닝 정지해,<function_KI>();<function_IH>(scan=False)<end>,1,scan=False
6OBNDJ,스캐닝 공기청정 켜줘,<function_IH>(scan=True)<end>,0,scan=True
7CDFLT,충전하러 복귀 스캐닝 청정 시작하세요,<function_KI>();<function_IH>(scan=True)<end>,1,scan=True
7CMQXP,고정 공기 청정 실행해줘 그 다음에 스캐닝 공기청정 상태가 어떤가요,<function_PG>();<function_IH>(get=True)<end>,1,get=True
7CTFPV,고정 공청 기능 켜줘 이어서 스캐닝 청정 꺼줘,<function_PG>();<function_IH>(scan=False)<end>,1,scan=False
7NEESC,무슨 취미 있어 그리고 스캐닝 실행해주세요,<function_MR>();<function_IH>(scan=True)<end>,1,scan=True
7QTQWM,책 좀 추천해줘 이어서 스캐닝 공기청정 상태가 어떤가요,<function_MR>();<function_IH>(get=True)<end>,1,get=True
7SOTDH,스캐닝 공기청정 켜져 있어,<function_IH>(get=True)<end>,0,get=True
7UDASN,스캐닝 청정 상태 좀 알려줘 이어서 이거 정말 괜찮다,<function_IH>(get=True);<function_MR>()<end>,0,get=True
7VWOIS,충전 위치로 되돌아가 그 다음에 스캐닝 기능 시작해주세요,<function_KI>();<function_IH>(scan=True)<end>,1,scan=True
8LPUWX,영화 볼래 그리고 스캐닝 공기청정 시작해줄래요,<function_MR>();<function_IH>(scan=True)<end>,1,scan=True
8QWYYV,나 좀 우울한 것 같아 이어서 스캐닝 청정 켜져있는 중인가요,<function_MR>();<function_IH>(get=True)<end>,1,get=True
8RUEJP,충전 위치로 되돌아가 그 다음에 스캐닝 공청 기능 중지해줘,<function_KI>();<function_IH>(scan=False)<end>,1,scan=False
8WHISQ,고정 청정 온 다음으로 스캐닝 청정 켜져있는 중인가요,<function_PG>();<function_IH>(get=True)<end>,1,get=True
9AFMXU,스캐닝 기능 시작해주세요 그리고 이번 주말엔 뭐할 거야,<function_IH>(scan=True);<function_MR>()<end>,0,scan=True
9JDFKA,고정 공기 청정 실행해줘 그리고 스캐닝 기능 시작해주세요,<function_PG>();<function_IH>(scan=True)<end>,1,scan=True
9JNZGB,스캐닝 청정 꺼줘,<function_IH>(scan=False)<end>,0,scan=False
9XYTWN,스캐닝 청정 시작,<function_IH>(scan=True)<end>,0,scan=True
