Index,Query,LLM Output,call_order,raw_args
0HAVQG,배터리 잔량이 얼마인지 확인해줘,<function_JJ>()<end>,0,
0WUGLT,고정 공기 청정 실행해줘 그리고 배터리 몇 퍼센트야,<function_PG>();<function_JJ>()<end>,1,
2RFGVX,배터리 상태 알려줘,<function_JJ>()<end>,0,
3KJYZN,충전하러 복귀 이어서 배터리 상태 알려줘,<function_KI>();<function_JJ>()<end>,1,
5CAZYO,이번에 새로 배운 취미 있어 그리고 충전량 얼마야,<function_MR>();<function_JJ>()<end>,1,
5EJMJD,고정 공기 청정 가동 시작해줘 그리고 배터리 잔량 확인해줘,<function_PG>();<function_JJ>()<end>,1,
5XHVCU,배터리 얼마나 남았어,<function_JJ>()<end>,0,
6FJXQN,고정 청정 온 다음으로 충전량 얼마야,<function_PG>();<function_JJ>()<end>,1,
6MNUQJ,클래식 음악 들으면 마음이 편해져 그리고 배터리 몇 퍼센트야,<function_MR>();<function_JJ>()<end>,1,
6PKTST,배터리 잔량 확인해줘 그리고 피아노 연습 많이 했어,<function_JJ>();<function_MR>()<end>,0,
6RBWKL,이제 그만 복귀해 지금 배터리 몇 퍼센트야,<function_KI>();<function_JJ>()<end>,1,
6SUYEY,현재 배터리 상태가 어떻게되,<function_JJ>()<end>,0,
7LDQSB,지금 배터리 몇 퍼센트야 그리고 취미로 요리하는 거 어때,<function_JJ>();<function_MR>()<end>,0,
7XZVRA,남은 배터리 알려줘,<function_JJ>()<end>,0,
