Index,Query,LLM Output,call_order,raw_args
0QLKFD,바이탈 사인 측정을 시작해주세요.,<function_GV>()<end>,0,
1OMGFL,고정 청정 온 다음으로 혈압 상태를 체크해주실래요,<function_PG>();<function_GV>()<end>,1,
2IBFUI,산소포화도 확인하고 싶어요 다음으로 다음 주말에는 부모님과 시간을 보내기로 했어,<function_GV>();<function_MR>()<end>,0,
2PONZQ,오늘 저녁은 무슨 메뉴로 할지 고민 중이야 다음으로 바이탈 사인 체크해주세요,<function_MR>();<function_GV>()<end>,1,
4IXAHT,고정 공청 기능 켜줘 혈압 상태를 체크해주실래요,<function_PG>();<function_GV>()<end>,1,
4XETQX,맥박 수치 측정하고 싶어.,<function_GV>()<end>,0,
5KGWSV,맥박수 측정하고 알려줄래?,<function_GV>()<end>,0,
6BTGYY,혈압 상태를 체크해주실래요 다음으로 이번 주말에는 캠핑을 가기로 했는데 기대 돼,<function_GV>();<function_MR>()<end>,0,
6LQONV,맥박 수치 확인해주시겠어요?,<function_GV>()<end>,0,
6OZAXP,다음 주에 있을 중요한 발표를 준비 중이야 다음으로 스트레스 지수 측정해줘,<function_MR>();<function_GV>()<end>,1,
7HQAYO,맥박 수치 체크해줘.,<function_GV>()<end>,0,
