Index,Query,LLM Output,call_order,raw_args
0FFTCF,고정 청정 온 그리고 공기질 상태 표시 작동 중인지 알려줘,<function_PG>();<function_SC>(get=True)<end>,1,get=True
0GXMKD,새로운 요리법 배웠어 그리고 공기질 상태 표시 켜져있어,<function_MR>();<function_SC>(get=True)<end>,1,get=True
0RWIAP,고정 공기 청정 실행해줘 그 후에 엘이디 공기질 상태 표시 기능 작동,<function_PG>();<function_SC>(enable=True)<end>,1,enable=True
1IPTEI,공기질 엘이디 작동 중이야,<function_SC>(get=True)<end>,0,get=True
2DFLTX,공기질 표시 엘이디 꺼줘,<function_SC>(enable=False)<end>,0,enable=False
2IJLJR,충전하러 복귀 다음으로 공기질 상태 표시 작동 정지해,<function_KI>();<function_SC>(enable=False)<end>,1,enable=False
2PSEOI,공기질 상태 엘이디 꺼줘,<function_SC>(enable=False)<end>,0,enable=False
2VZMQG,공기질 아이 표시 기능 해제해줘 이어서 디저트 먹고 싶은데 뭐가 좋을까,<function_SC>(enable=False);<function_MR>()<end>,0,enable=False
3LCODL,충전하러 복귀 그 다음에 공기질 상태 표시 켜줘,<function_KI>();<function_SC>(enable=True)<end>,1,enable=True
4DFJRD,공기질 상태 표시 엘이디 작동중이야,<function_SC>(get=True)<end>,0,get=True
4VEJLY,고정 공청 기능 켜줘 공기질 상태 표시 작동해,<function_PG>();<function_SC>(enable=True)<end>,1,enable=True
4XEQHK,엘이디 공기질 상태표시 꺼,<function_SC>(enable=False)<end>,0,enable=False
4YWPSM,고정 공기 청정 가동 시작해줘 그 다음에 공기질 상태 표시 작동 중인지 알려줘,<function_PG>();<function_SC>(get=True)<end>,1,get=True
5AHKDF,공기질 상태 표시 작동 중인지 알려줘 그리고 오늘 점심은 간단하게 먹고 싶어,<function_SC>(get=True);<function_MR>()<end>,0,get=True
6AJJPS,공기질 엘이디 기능 꺼줘,<function_SC>(enable=False)<end>,0,enable=False
6MLIBW,공기질 상태 엘이디 켜져있어,<function_SC>(get=True)<end>,0,get=True
6POJRQ,공기질 표시 엘이디 켜져있어,<function_SC>(get=True)<end>,0,get=True
6VWQLG,공기질 표시 엘이디 켜줘,<function_SC>(enable=True)<end>,0,enable=True
6WXQCD,처음 위치로 돌아가주면 좋겠어 그 후에 공기질 상태 표시 작동 정지해,<function_KI>();<function_SC>(enable=False)<end>,1,enable=False
7CPARS,고정 청정 온 또 공기질 상태 표시가 켜져있는지 확인해볼래,<function_PG>();<function_SC>(get=True)<end>,1,get=True
7GXORZ,엘이디 공기질 상태표시 켜,<function_SC>(enable=True)<end>,0,enable=True
7KOKDO,공기질 아이 표시 활성화해줘 또 음악 들으면서 힐링하고 있어,<function_SC>(enable=True);<function_MR>()<end>,0,enable=True
7RQYWW,고정 공기 청정 가동 시작해줘 그러고 나서 공기질 아이 표시 기능 해제해줘,<function_PG>();<function_SC>(enable=False)<end>,1,enable=False
7WFIVY,스테이션 위치로 복귀하세요 그 후에 공기질 상태 표시 작동해,<function_KI>();<function_SC>(enable=True)<end>,1,enable=True
7WLLIS,공기질 상태 표시 엘이디 꺼줘,<function_SC>(enable=False)<end>,0,enable=False
8ASLRW,현재 공기질 아이 표시가 작동하고 있나요 그리고 디저트 카페 추천해줄 수 있어,<function_SC>(get=True);<function_MR>()<end>,0,get=True
8UVIOZ,청정 켜봐 다음으로 공기질 상태 표시 작동 정지해,<function_PG>();<function_SC>(enable=False)<end>,1,enable=False
8VZNAM,충전하러 복귀 그 다음에 현재 공기질 아이 표시가 작동하고 있나요,<function_KI>();<function_SC>(get=True)<end>,1,get=True
8XBXVT,취미로 배워볼 만한 거 추천해줄래 또 엘이디 아이 공기질 상태 표시 켜줘,<function_MR>();<function_SC>(enable=True)<end>,1,enable=True
9GIEMI,공기질 상태 엘이디 켜줘,<function_SC>(enable=True)<end>,0,enable=True
9HATCH,요즘 좋아하는 음식 뭐야 그리고 공기질 상태 표시가 켜져있는지 확인해볼래,<function_MR>();<function_SC>(get=True)<end>,1,get=True
