Index,Query,LLM Output,call_order,raw_args
0ABOVW,월요일 자카르타 대기질을 화면에 보여줘 다음으로 자격증 준비하고 있니,"<function_IO>(timeframe=3, location=자카르타);<function_MR>()<end>",1,
0AIWYM,저는 음악을 듣는 걸 좋아해요,<function_MR>()<end>,0,
0AOMIK,이 책 정말 재밌어,<function_MR>()<end>,0,
0AUZHX,유부이 살균 에릴디 실행해줘 그 후에 오늘 저녁은 샐러드로 가볍게 먹을까,<function_NN>(enable=True);<function_MR>()<end>,1,
0AWJDL,공기청정 소요시간이 얼마였어 그리고 내일은 조금 더 부지런하게 보내야겠어 할 일이 많아,<function_CE>();<function_MR>()<end>,1,
0AXBFG,다음 달에 있을 콘서트를 기대하고 있어 정말 재밌을 것 같아,<function_MR>()<end>,0,
0BGMGY,제주도 여행 가봤어,<function_MR>()<end>,0,
0BSLTV,새로 시작한 취미가 너무 재미있어서 시간 가는 줄 모르겠어,<function_MR>()<end>,0,
0BTVBV,현재 판교 공기질 알려주세요 그리고 새로 시작한 운동이 뭐야,"<function_IO>(timeframe=0, location=판교);<function_MR>()<end>",1,
0BYOOB,이번 달은 너무 바빠서 친구들 만날 시간이 없었어,<function_MR>()<end>,0,
0CSFLE,오늘 저녁은 뭘 먹을지 고민 중이야 배는 고픈데 딱히 생각나는 게 없어,<function_MR>()<end>,0,
0CSGIE,내일 중요한 발표가 있는데 너무 긴장 돼 잘해야 할 텐데 그리고 청정 결과 보고서 보여줘,<function_MR>();<function_CE>()<end>,0,
0CUUMZ,요즘 읽고 있는 책이 정말 흥미로워,<function_MR>()<end>,0,
0CYSFB,새로운 가방을 사고 싶은데 어떤 게 좋을까 고민 중이야,<function_MR>()<end>,0,
0DFGKQ,요즘 스트레스를 너무 많이 받아서 운동으로 풀려고 해,<function_MR>()<end>,0,
0DRWCS,이번 주말에는 그냥 집에서 편하게 쉬고 싶어,<function_MR>()<end>,0,
0DYSDC,이번 주말에는 그냥 집에서 푹 쉬려고 해,<function_MR>()<end>,0,
0EKYLI,이 음악 들어봤어 그 후에 전체 공간 청정 해줘,<function_MR>();<function_EF>(action=1)<end>,0,
0EQLFH,좋아하는 책이 뭐야,<function_MR>()<end>,0,
0ERBIY,오늘은 아무것도 하기 싫어서 그냥 집에 있을래,<function_MR>()<end>,0,
0FAWUP,다음 주에 있을 모임 준비를 미리 해둬야겠어,<function_MR>()<end>,0,
0FBNXU,새로 개봉한 영화 봐야겠어,<function_MR>()<end>,0,
0FCFHC,일정을 잘못 짜서 오늘 하루 종일 바쁘게 움직였어,<function_MR>()<end>,0,
0FEYIH,커피 한 잔 마시러 갈래,<function_MR>()<end>,0,
0FQABR,새로 나온 영화 예고편 봤어 되게 재밌어 보이더라 이어서 수요일 나폴리 공기질 때문에 마스크 써야 할까,"<function_MR>();<function_IO>(timeframe=5, location=나폴리)<end>",0,
0GEHXS,내일 중요한 미팅 있어 이어서 바람 강도 자동으로 맞춰줘,<function_MR>();<function_NK>(speed=0)<end>,0,
0GGEKN,오늘 하루가 너무 바빴어 이제 좀 쉬고 싶어 그 후에 제 방향으로 돌려주실래요,<function_MR>();<function_FR>()<end>,0,
0GGUSB,내일은 일찍 일어나서 하루를 길게 써볼 생각이야,<function_MR>()<end>,0,
0GHJNO,이번 달은 정신없이 바빠서 친구들 만날 시간이 없었어,<function_MR>()<end>,0,
0GKCAJ,다음 달에 있을 중요한 발표를 준비 중이야,<function_MR>()<end>,0,
0GLNYO,오늘 할 일 많아,<function_MR>()<end>,0,
0GQEZB,다음 달에 있을 시험 준비를 열심히 해야 할 것 같아,<function_MR>()<end>,0,
0GXMKD,새로운 요리법 배웠어 그리고 공기질 상태 표시 켜져있어,<function_MR>();<function_SC>(get=True)<end>,0,
0HACJP,새로 나온 레스토랑 가봤어,<function_MR>()<end>,0,
0HBBYT,넌 무슨 음식을 좋아해,<function_MR>()<end>,0,
0HDQTQ,넌 어떻게 생각해,<function_MR>()<end>,0,
0HIIWN,다음 주에 있을 약속이 취소돼서 좀 아쉽다 그 다음에 수요일 날씨 알려줘,"<function_MR>();<function_MO>(timeframe=5, location=""0"")<end>",0,
0HNNYI,요즘 들어 일찍 자고 일찍 일어나니까 기분이 상쾌해,<function_MR>()<end>,0,
0HPWZU,새로 시작한 다이어트가 생각보다 힘드네,<function_MR>()<end>,0,
0HTSOU,어떤 영화가 좋을까,<function_MR>()<end>,0,
0HUTGI,주말에 계획 있어,<function_MR>()<end>,0,
0IIONW,집에서 할 수 있는 운동 추천해 줄 수 있어,<function_MR>()<end>,0,
0IZVJR,목요일 광진구 공기질 걱정해야 할까 그 후에 다음 달에 친구랑 여행 갈 계획 세우고 있어,"<function_IO>(timeframe=6, location=광진구);<function_MR>()<end>",1,
0JEAEC,자기계발서 추천해줄래,<function_MR>()<end>,0,
0JLKSG,요즘 뭐하고 있는지 말해봐,<function_MR>()<end>,0,
0JOWSJ,오늘 저녁은 간단하게 파스타나 만들어 먹어야겠어,<function_MR>()<end>,0,
0JUUOY,오늘 하루가 너무 길어서 이제 좀 쉬고 싶어,<function_MR>()<end>,0,
0JWHPV,새로 산 자전거를 타고 근처 공원을 돌면 좋을 것 같아,<function_MR>()<end>,0,
0JWPYK,이번에 여행 가서 사진 많이 찍자,<function_MR>()<end>,0,
0JXTDC,이번 주말에 뭐 할 계획 있어 그러고 나서 엘이디 밝기를 40프로로 설정해줘,<function_MR>();<function_WN>(brightness=2)<end>,0,
0JXUWS,내일은 뭐 할 계획이야,<function_MR>()<end>,0,
0KFMBG,오늘 저녁으로 뭐 먹을지 아직도 고민 중이야,<function_MR>()<end>,0,
0KOGIY,소리 볼륨을 사로 맞춰줘 그리고 이번 주에 할 일이 많아서 큰일이야,<function_ZV>(volume=4);<function_MR>()<end>,1,
0KXCWL,오늘은 하루 종일 비가 와서 기분이 축 처지네,<function_MR>()<end>,0,
